org,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
SOUTHEASTERN LEGAL FOUNDATION,,,,,,0.0,0.125,0.1,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0
STATE POLICY NETWORK,,,,,,,,,,,,0.0,0.0,0.020833333333333332,0.0,0.022172949002217297,0.026359143327841845,0.005434782608695652
STUDENT FREE PRESS ASSOCIATION,,,,,,,,0.007532956685499058,0.0013386880856760374,0.011918951132300357,0.009579955784819455,0.012117714945181766,0.009538950715421303,0.007131102578167855,0.003786086133459536,0.00535801266439357,0.007466401194624191,0.0025549310168625446
TAXPAYERS PROTECTION ALLIANCE,,,,,,,,,0.026785714285714284,0.0847457627118644,0.05025125628140704,0.07511737089201878,0.13488372093023257,0.07142857142857142,0.09045226130653267,0.08080808080808081,0.06321839080459771,0.016666666666666666
TEXAS PUBLIC POLICY FOUNDATION,0.0,0.030303030303030304,0.019230769230769232,0.06382978723404255,0.05263157894736842,0.15217391304347827,0.08045977011494253,0.08333333333333333,0.13063063063063063,0.08865248226950355,0.10139860139860139,0.11662531017369727,0.1079136690647482,0.16356877323420074,0.04777070063694268,0.14617169373549885,0.18021978021978022,0.06297709923664122
THOMAS JEFFERSON INSTITUTE FOR PUBLIC POLICY,0.0,0.0,0.0,0.0,0.14285714285714285,0.35294117647058826,0.0625,0.0,0.12,0.0,0.03225806451612903,0.41379310344827586,0.14285714285714285,0.0,0.0,0.07142857142857142,0.2,0.0
TRUTH IN ACCOUNTING,0.0,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TURNING POINT USA,,,,,,,,,,,,,,,,,,0.002890173410404624
WASHINGTON LEGAL FOUNDATION,,,,,,,0.0,0.017241379310344827,0.055248618784530384,0.053691275167785234,0.024242424242424242,0.017241379310344827,0.013245033112582781,0.03389830508474576,0.009389671361502348,0.016736401673640166,0.00851063829787234,0.0
WASHINGTON POLICY CENTER,0.0,,,0.0,,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.06451612903225806,0.0,0.043478260869565216
WYOMING LIBERTY GROUP,,,,,,,,,,,,0.06428571428571428,0.05063291139240506,0.043478260869565216,0.0,0.0,0.03296703296703297,0.037037037037037035
YANKEE INSTITUTE FOR PUBLIC POLICY,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.010752688172043012,0.0,0.005319148936170213,0.01818181818181818,0.03717472118959108
YOUNG AMERICA'S FOUNDATION,,,,,,,,0.0,,0.0,0.0,0.0,0.02531645569620253,0.005780346820809248,0.00392156862745098,0.0,0.006944444444444444,0.004081632653061225
YOUNG AMERICANS FOR LIBERTY,,,,,,0.022058823529411766,0.014970059880239521,0.007306889352818371,0.006493506493506494,0.0,0.0029154518950437317,0.002008032128514056,0.0,0.0,0.0030165912518853697,0.0,,
