GRANTMAKER,RECIPIENT,value,interlock
THOMAS W SMITH FOUNDATION INC,INDEPENDENT INSTITUTE,0.0,False
"TRIAD FOUNDATION, INC.",INDEPENDENT INSTITUTE,98174.92853,False
TULLY AND ELISE FRIEDMAN FUND,INDEPENDENT INSTITUTE,0.0,False
"U.S. JUSTICE CHARITABLE FOUNDATION, INC.",INDEPENDENT INSTITUTE,0.0,False
WALTON FAMILY FOUNDATION,INDEPENDENT INSTITUTE,0.0,False
WESTROCK FOUNDATION The,INDEPENDENT INSTITUTE,0.0,False
WILLIAM AND FLORA HEWLETT FOUNDATION The,INDEPENDENT INSTITUTE,0.0,False
"WILLIAM E. SIMON FOUNDATION, INC.",INDEPENDENT INSTITUTE,81830.942938,False
WILLIAM H. DONNER FOUNDATION The,INDEPENDENT INSTITUTE,7466.666667,False
"WILLIAM K. BOWES, JR. FOUNDATION",INDEPENDENT INSTITUTE,5341881.44285,False
ADOLPH COORS FOUNDATION,INDEPENDENT WOMEN'S FORUM,269457.23834,False
AMBROSE MONELL FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
ANNENBERG FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
ANSCHUTZ FOUNDATION The,INDEPENDENT WOMEN'S FORUM,129461.23689300001,False
ARMSTRONG FOUNDATION,INDEPENDENT WOMEN'S FORUM,11968.854282,False
ARTHUR CARLYSE CIOCCA CHARITABLE FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
BETH AND RAVENEL CURRY FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
BILL AND MELINDA GATES FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
BODMAN FOUNDATIONS,INDEPENDENT WOMEN'S FORUM,33333.33333,False
BRADLEY IMPACT FUND,INDEPENDENT WOMEN'S FORUM,43537.41497,False
"BRADY EDUCATION FOUNDATION, INC.",INDEPENDENT WOMEN'S FORUM,1456991.15,True
CHARLES KOCH INSTITUTE AND FOUNDATION,INDEPENDENT WOMEN'S FORUM,10343.26241,False
CHASE FOUNDATION OF VIRGINIA,INDEPENDENT WOMEN'S FORUM,20354.050667,False
CLAWS FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
"COVENANT FOUNDATION, INC.",INDEPENDENT WOMEN'S FORUM,0.0,False
DANIELS FUND,INDEPENDENT WOMEN'S FORUM,0.0,False
DAVID J.  MARY L. G. THEROUX FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
DAVIS FAMILY FOUNDATIONS,INDEPENDENT WOMEN'S FORUM,182471.222909,False
DEVOS FAMILY FOUNDATIONS,INDEPENDENT WOMEN'S FORUM,0.0,False
DONORS TRUST & DONORS CAPITAL FUND,INDEPENDENT WOMEN'S FORUM,8372865.766835201,True
DUNN FOUNDATION THE,INDEPENDENT WOMEN'S FORUM,0.0,False
E. L. CRAIG FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
ED UIHLEIN FAMILY FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
EWING MARION KAUFFMAN FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
EXXONMOBIL FOUNDATION,INDEPENDENT WOMEN'S FORUM,167347.49501,False
"F. M. KIRBY FOUNDATION, INC.",INDEPENDENT WOMEN'S FORUM,0.0,False
FRED MAYTAG FAMILY FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
FREDERICK E. AND JULIA G. NONNEMAN FOUNDATION,INDEPENDENT WOMEN'S FORUM,24425.42946,False
"GALASHIELS FUND, LTD",INDEPENDENT WOMEN'S FORUM,0.0,False
GLEASON FAMILY FOUNDATION,INDEPENDENT WOMEN'S FORUM,242424.2424,False
GREATER HOUSTON COMMUNITY FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
GROVER HERMANN FOUNDATION The,INDEPENDENT WOMEN'S FORUM,91047.24703,False
HERBERT H. AND GRACE A. DOW FOUNDATION The,INDEPENDENT WOMEN'S FORUM,0.0,False
HERRICK FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
HERTOG FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
HOWARD CHARITABLE FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
J. P. HUMPHREYS FOUNDATION,INDEPENDENT WOMEN'S FORUM,89047.50422,False
J.M. KAPLAN FUND,INDEPENDENT WOMEN'S FORUM,0.0,False
JAQUELIN HUME FOUNDATION,INDEPENDENT WOMEN'S FORUM,235096.7981,False
JEAN PERKINS FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
JOHN TEMPLETON FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
JOHN WILLIAM POPE FOUNDATION,INDEPENDENT WOMEN'S FORUM,133988.42997,False
KERN FAMILY FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
KORET FOUNDATION,INDEPENDENT WOMEN'S FORUM,15354.216556,False
KOVNER FOUNDATION The,INDEPENDENT WOMEN'S FORUM,0.0,False
KRIEBLE FOUNDATION THE,INDEPENDENT WOMEN'S FORUM,0.0,False
LAKESIDE FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
LAURA AND JOHN ARNOLD FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
"LILLIAN S. WELLS FOUNDATION, INC.",INDEPENDENT WOMEN'S FORUM,0.0,False
LILLY ENDOWMENT INC.,INDEPENDENT WOMEN'S FORUM,0.0,False
LYNDE AND HARRY BRADLEY FOUNDATION,INDEPENDENT WOMEN'S FORUM,364417.317183,False
M.J. MURDOCK CHARITABLE TRUST,INDEPENDENT WOMEN'S FORUM,0.0,False
MALONE FAMILY FOUNDATION The,INDEPENDENT WOMEN'S FORUM,0.0,False
"MARCUS FOUNDATION, INC. The",INDEPENDENT WOMEN'S FORUM,0.0,False
MERCER FAMILY FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
"NOBLE RESEARCH INSTITUTE, LLC",INDEPENDENT WOMEN'S FORUM,0.0,False
ORANGE COUNTY COMMUNITY FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
ORANGE CRIMSON FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
PIERRE F. AND ENID GOODRICH FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
PROMETHEUS FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
RICHARD AND BARBARA GABY FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
RICHARD SETH STALEY EDUCATIONAL FOUNDATION The,INDEPENDENT WOMEN'S FORUM,0.0,False
ROBERT AND ARDIS JAMES FOUNDATION INC,INDEPENDENT WOMEN'S FORUM,0.0,False
ROBERTS FOUNDATION The,INDEPENDENT WOMEN'S FORUM,0.0,False
ROE FOUNDATION The,INDEPENDENT WOMEN'S FORUM,19806.918746000003,False
ROSE-MARIE AND JACK R. ANDERSON FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
"S.D. BECHTEL, JR. FOUNDATION",INDEPENDENT WOMEN'S FORUM,0.0,False
SAN FRANCISCO FOUNDATION The,INDEPENDENT WOMEN'S FORUM,0.0,False
SCAIFE FAMILY FOUNDATIONS,INDEPENDENT WOMEN'S FORUM,1176020.50318,False
SEARLE FREEDOM TRUST,INDEPENDENT WOMEN'S FORUM,153901.21688999998,True
SILICON VALLEY COMMUNITY FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
SMITH RICHARDSON FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
SORENSON LEGACY FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
STARR FOUNDATION The,INDEPENDENT WOMEN'S FORUM,0.0,False
SUSQUEHANNA FOUNDATION,INDEPENDENT WOMEN'S FORUM,1333.333333,False
THOMAS W SMITH FOUNDATION INC,INDEPENDENT WOMEN'S FORUM,26666.66667,False
"TRIAD FOUNDATION, INC.",INDEPENDENT WOMEN'S FORUM,143505.02220500002,False
TULLY AND ELISE FRIEDMAN FUND,INDEPENDENT WOMEN'S FORUM,0.0,False
"U.S. JUSTICE CHARITABLE FOUNDATION, INC.",INDEPENDENT WOMEN'S FORUM,0.0,False
WALTON FAMILY FOUNDATION,INDEPENDENT WOMEN'S FORUM,0.0,False
WESTROCK FOUNDATION The,INDEPENDENT WOMEN'S FORUM,0.0,False
WILLIAM AND FLORA HEWLETT FOUNDATION The,INDEPENDENT WOMEN'S FORUM,0.0,False
"WILLIAM E. SIMON FOUNDATION, INC.",INDEPENDENT WOMEN'S FORUM,12121.21212,False
WILLIAM H. DONNER FOUNDATION The,INDEPENDENT WOMEN'S FORUM,181890.74238,False
"WILLIAM K. BOWES, JR. FOUNDATION",INDEPENDENT WOMEN'S FORUM,0.0,False
ADOLPH COORS FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,82393.79668,False
AMBROSE MONELL FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
ANNENBERG FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
ANSCHUTZ FOUNDATION The,INSTITUTE FOR ENERGY RESEARCH,0.0,False
ARMSTRONG FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,60423.381112,False
ARTHUR CARLYSE CIOCCA CHARITABLE FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
BETH AND RAVENEL CURRY FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
BILL AND MELINDA GATES FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
BODMAN FOUNDATIONS,INSTITUTE FOR ENERGY RESEARCH,0.0,False
BRADLEY IMPACT FUND,INSTITUTE FOR ENERGY RESEARCH,0.0,False
"BRADY EDUCATION FOUNDATION, INC.",INSTITUTE FOR ENERGY RESEARCH,0.0,False
CHARLES KOCH INSTITUTE AND FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,681337.486025,False
CHASE FOUNDATION OF VIRGINIA,INSTITUTE FOR ENERGY RESEARCH,215780.269309,False
CLAWS FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
"COVENANT FOUNDATION, INC.",INSTITUTE FOR ENERGY RESEARCH,0.0,False
DANIELS FUND,INSTITUTE FOR ENERGY RESEARCH,0.0,False
DAVID J.  MARY L. G. THEROUX FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
DAVIS FAMILY FOUNDATIONS,INSTITUTE FOR ENERGY RESEARCH,0.0,False
DEVOS FAMILY FOUNDATIONS,INSTITUTE FOR ENERGY RESEARCH,0.0,False
DONORS TRUST & DONORS CAPITAL FUND,INSTITUTE FOR ENERGY RESEARCH,1273551.51775,True
DUNN FOUNDATION THE,INSTITUTE FOR ENERGY RESEARCH,0.0,False
E. L. CRAIG FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
ED UIHLEIN FAMILY FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
EWING MARION KAUFFMAN FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
EXXONMOBIL FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,255945.38763999997,False
"F. M. KIRBY FOUNDATION, INC.",INSTITUTE FOR ENERGY RESEARCH,0.0,False
FRED MAYTAG FAMILY FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
FREDERICK E. AND JULIA G. NONNEMAN FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
"GALASHIELS FUND, LTD",INSTITUTE FOR ENERGY RESEARCH,0.0,False
GLEASON FAMILY FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
GREATER HOUSTON COMMUNITY FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,183780.727068,False
GROVER HERMANN FOUNDATION The,INSTITUTE FOR ENERGY RESEARCH,0.0,False
HERBERT H. AND GRACE A. DOW FOUNDATION The,INSTITUTE FOR ENERGY RESEARCH,0.0,False
HERRICK FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
HERTOG FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
HOWARD CHARITABLE FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
J. P. HUMPHREYS FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,57971.01449,False
J.M. KAPLAN FUND,INSTITUTE FOR ENERGY RESEARCH,0.0,False
JAQUELIN HUME FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
JEAN PERKINS FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
JOHN TEMPLETON FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
JOHN WILLIAM POPE FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
KERN FAMILY FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
KORET FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
KOVNER FOUNDATION The,INSTITUTE FOR ENERGY RESEARCH,0.0,False
KRIEBLE FOUNDATION THE,INSTITUTE FOR ENERGY RESEARCH,0.0,False
LAKESIDE FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
LAURA AND JOHN ARNOLD FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
"LILLIAN S. WELLS FOUNDATION, INC.",INSTITUTE FOR ENERGY RESEARCH,0.0,False
LILLY ENDOWMENT INC.,INSTITUTE FOR ENERGY RESEARCH,0.0,False
LYNDE AND HARRY BRADLEY FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
M.J. MURDOCK CHARITABLE TRUST,INSTITUTE FOR ENERGY RESEARCH,0.0,False
MALONE FAMILY FOUNDATION The,INSTITUTE FOR ENERGY RESEARCH,0.0,False
"MARCUS FOUNDATION, INC. The",INSTITUTE FOR ENERGY RESEARCH,0.0,False
MERCER FAMILY FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
"NOBLE RESEARCH INSTITUTE, LLC",INSTITUTE FOR ENERGY RESEARCH,0.0,False
ORANGE COUNTY COMMUNITY FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
ORANGE CRIMSON FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
PIERRE F. AND ENID GOODRICH FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
PROMETHEUS FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
RICHARD AND BARBARA GABY FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
RICHARD SETH STALEY EDUCATIONAL FOUNDATION The,INSTITUTE FOR ENERGY RESEARCH,0.0,False
ROBERT AND ARDIS JAMES FOUNDATION INC,INSTITUTE FOR ENERGY RESEARCH,0.0,False
ROBERTS FOUNDATION The,INSTITUTE FOR ENERGY RESEARCH,0.0,False
ROE FOUNDATION The,INSTITUTE FOR ENERGY RESEARCH,0.0,False
ROSE-MARIE AND JACK R. ANDERSON FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
"S.D. BECHTEL, JR. FOUNDATION",INSTITUTE FOR ENERGY RESEARCH,0.0,False
SAN FRANCISCO FOUNDATION The,INSTITUTE FOR ENERGY RESEARCH,0.0,False
SCAIFE FAMILY FOUNDATIONS,INSTITUTE FOR ENERGY RESEARCH,81632.65306,False
SEARLE FREEDOM TRUST,INSTITUTE FOR ENERGY RESEARCH,324468.36599,False
SILICON VALLEY COMMUNITY FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
SMITH RICHARDSON FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
SORENSON LEGACY FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
STARR FOUNDATION The,INSTITUTE FOR ENERGY RESEARCH,0.0,False
SUSQUEHANNA FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
THOMAS W SMITH FOUNDATION INC,INSTITUTE FOR ENERGY RESEARCH,0.0,False
"TRIAD FOUNDATION, INC.",INSTITUTE FOR ENERGY RESEARCH,10712.046574,False
TULLY AND ELISE FRIEDMAN FUND,INSTITUTE FOR ENERGY RESEARCH,0.0,False
"U.S. JUSTICE CHARITABLE FOUNDATION, INC.",INSTITUTE FOR ENERGY RESEARCH,0.0,False
WALTON FAMILY FOUNDATION,INSTITUTE FOR ENERGY RESEARCH,0.0,False
WESTROCK FOUNDATION The,INSTITUTE FOR ENERGY RESEARCH,0.0,False
WILLIAM AND FLORA HEWLETT FOUNDATION The,INSTITUTE FOR ENERGY RESEARCH,0.0,False
"WILLIAM E. SIMON FOUNDATION, INC.",INSTITUTE FOR ENERGY RESEARCH,0.0,False
WILLIAM H. DONNER FOUNDATION The,INSTITUTE FOR ENERGY RESEARCH,0.0,False
"WILLIAM K. BOWES, JR. FOUNDATION",INSTITUTE FOR ENERGY RESEARCH,0.0,False
ADOLPH COORS FOUNDATION,JAMES MADISON INSTITUTE,28368.79433,False
AMBROSE MONELL FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
ANNENBERG FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
ANSCHUTZ FOUNDATION The,JAMES MADISON INSTITUTE,0.0,False
ARMSTRONG FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
ARTHUR CARLYSE CIOCCA CHARITABLE FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
BETH AND RAVENEL CURRY FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
BILL AND MELINDA GATES FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
BODMAN FOUNDATIONS,JAMES MADISON INSTITUTE,0.0,False
BRADLEY IMPACT FUND,JAMES MADISON INSTITUTE,0.0,False
"BRADY EDUCATION FOUNDATION, INC.",JAMES MADISON INSTITUTE,0.0,False
CHARLES KOCH INSTITUTE AND FOUNDATION,JAMES MADISON INSTITUTE,1401378.544331,False
CHASE FOUNDATION OF VIRGINIA,JAMES MADISON INSTITUTE,13600.584229,False
CLAWS FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
"COVENANT FOUNDATION, INC.",JAMES MADISON INSTITUTE,0.0,False
DANIELS FUND,JAMES MADISON INSTITUTE,30303.0303,False
DAVID J.  MARY L. G. THEROUX FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
DAVIS FAMILY FOUNDATIONS,JAMES MADISON INSTITUTE,0.0,False
DEVOS FAMILY FOUNDATIONS,JAMES MADISON INSTITUTE,0.0,False
DONORS TRUST & DONORS CAPITAL FUND,JAMES MADISON INSTITUTE,1898988.0738028,False
DUNN FOUNDATION THE,JAMES MADISON INSTITUTE,1865122.63663,True
E. L. CRAIG FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
ED UIHLEIN FAMILY FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
EWING MARION KAUFFMAN FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
EXXONMOBIL FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
"F. M. KIRBY FOUNDATION, INC.",JAMES MADISON INSTITUTE,0.0,False
FRED MAYTAG FAMILY FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
FREDERICK E. AND JULIA G. NONNEMAN FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
"GALASHIELS FUND, LTD",JAMES MADISON INSTITUTE,0.0,False
GLEASON FAMILY FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
GREATER HOUSTON COMMUNITY FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
GROVER HERMANN FOUNDATION The,JAMES MADISON INSTITUTE,0.0,False
HERBERT H. AND GRACE A. DOW FOUNDATION The,JAMES MADISON INSTITUTE,0.0,False
HERRICK FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
HERTOG FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
HOWARD CHARITABLE FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
J. P. HUMPHREYS FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
J.M. KAPLAN FUND,JAMES MADISON INSTITUTE,0.0,False
JAQUELIN HUME FOUNDATION,JAMES MADISON INSTITUTE,263981.63349000004,False
JEAN PERKINS FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
JOHN TEMPLETON FOUNDATION,JAMES MADISON INSTITUTE,496613.38412199996,False
JOHN WILLIAM POPE FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
KERN FAMILY FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
KORET FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
KOVNER FOUNDATION The,JAMES MADISON INSTITUTE,0.0,False
KRIEBLE FOUNDATION THE,JAMES MADISON INSTITUTE,0.0,False
LAKESIDE FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
LAURA AND JOHN ARNOLD FOUNDATION,JAMES MADISON INSTITUTE,307826.087,False
"LILLIAN S. WELLS FOUNDATION, INC.",JAMES MADISON INSTITUTE,1410902.51422,False
LILLY ENDOWMENT INC.,JAMES MADISON INSTITUTE,0.0,False
LYNDE AND HARRY BRADLEY FOUNDATION,JAMES MADISON INSTITUTE,122077.92208,False
M.J. MURDOCK CHARITABLE TRUST,JAMES MADISON INSTITUTE,0.0,False
MALONE FAMILY FOUNDATION The,JAMES MADISON INSTITUTE,0.0,False
"MARCUS FOUNDATION, INC. The",JAMES MADISON INSTITUTE,0.0,False
MERCER FAMILY FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
"NOBLE RESEARCH INSTITUTE, LLC",JAMES MADISON INSTITUTE,0.0,False
ORANGE COUNTY COMMUNITY FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
ORANGE CRIMSON FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
PIERRE F. AND ENID GOODRICH FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
PROMETHEUS FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
RICHARD AND BARBARA GABY FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
RICHARD SETH STALEY EDUCATIONAL FOUNDATION The,JAMES MADISON INSTITUTE,0.0,False
ROBERT AND ARDIS JAMES FOUNDATION INC,JAMES MADISON INSTITUTE,0.0,False
ROBERTS FOUNDATION The,JAMES MADISON INSTITUTE,0.0,False
ROE FOUNDATION The,JAMES MADISON INSTITUTE,362375.53232,False
ROSE-MARIE AND JACK R. ANDERSON FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
"S.D. BECHTEL, JR. FOUNDATION",JAMES MADISON INSTITUTE,0.0,False
SAN FRANCISCO FOUNDATION The,JAMES MADISON INSTITUTE,0.0,False
SCAIFE FAMILY FOUNDATIONS,JAMES MADISON INSTITUTE,0.0,False
SEARLE FREEDOM TRUST,JAMES MADISON INSTITUTE,0.0,False
SILICON VALLEY COMMUNITY FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
SMITH RICHARDSON FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
SORENSON LEGACY FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
STARR FOUNDATION The,JAMES MADISON INSTITUTE,0.0,False
SUSQUEHANNA FOUNDATION,JAMES MADISON INSTITUTE,0.0,False
THOMAS W SMITH FOUNDATION INC,JAMES MADISON INSTITUTE,0.0,False
"TRIAD FOUNDATION, INC.",JAMES MADISON INSTITUTE,0.0,False
TULLY AND ELISE FRIEDMAN FUND,JAMES MADISON INSTITUTE,0.0,False
"U.S. JUSTICE CHARITABLE FOUNDATION, INC.",JAMES MADISON INSTITUTE,0.0,False
WALTON FAMILY FOUNDATION,JAMES MADISON INSTITUTE,321252.13992,False
WESTROCK FOUNDATION The,JAMES MADISON INSTITUTE,0.0,False
WILLIAM AND FLORA HEWLETT FOUNDATION The,JAMES MADISON INSTITUTE,0.0,False
"WILLIAM E. SIMON FOUNDATION, INC.",JAMES MADISON INSTITUTE,0.0,False
WILLIAM H. DONNER FOUNDATION The,JAMES MADISON INSTITUTE,0.0,False
"WILLIAM K. BOWES, JR. FOUNDATION",JAMES MADISON INSTITUTE,0.0,False
ADOLPH COORS FOUNDATION,MACKINAC CENTER FOR PUBLIC POLICY,169639.41746,False
AMBROSE MONELL FOUNDATION,MACKINAC CENTER FOR PUBLIC POLICY,0.0,False
ANNENBERG FOUNDATION,MACKINAC CENTER FOR PUBLIC POLICY,0.0,False
ANSCHUTZ FOUNDATION The,MACKINAC CENTER FOR PUBLIC POLICY,0.0,False
ARMSTRONG FOUNDATION,MACKINAC CENTER FOR PUBLIC POLICY,0.0,False
ARTHUR CARLYSE CIOCCA CHARITABLE FOUNDATION,MACKINAC CENTER FOR PUBLIC POLICY,0.0,False
BETH AND RAVENEL CURRY FOUNDATION,MACKINAC CENTER FOR PUBLIC POLICY,0.0,False
BILL AND MELINDA GATES FOUNDATION,MACKINAC CENTER FOR PUBLIC POLICY,0.0,False
BODMAN FOUNDATIONS,MACKINAC CENTER FOR PUBLIC POLICY,0.0,False
BRADLEY IMPACT FUND,MACKINAC CENTER FOR PUBLIC POLICY,21818.18182,False
"BRADY EDUCATION FOUNDATION, INC.",MACKINAC CENTER FOR PUBLIC POLICY,0.0,False
CHARLES KOCH INSTITUTE AND FOUNDATION,MACKINAC CENTER FOR PUBLIC POLICY,1906797.705922,False
CHASE FOUNDATION OF VIRGINIA,MACKINAC CENTER FOR PUBLIC POLICY,191057.385848,False
CLAWS FOUNDATION,MACKINAC CENTER FOR PUBLIC POLICY,0.0,False
"COVENANT FOUNDATION, INC.",MACKINAC CENTER FOR PUBLIC POLICY,0.0,False
DANIELS FUND,MACKINAC CENTER FOR PUBLIC POLICY,0.0,False
DAVID J.  MARY L. G. THEROUX FOUNDATION,MACKINAC CENTER FOR PUBLIC POLICY,0.0,False
DAVIS FAMILY FOUNDATIONS,MACKINAC CENTER FOR PUBLIC POLICY,0.0,False
DEVOS FAMILY FOUNDATIONS,MACKINAC CENTER FOR PUBLIC POLICY,2637334.16862,False
DONORS TRUST & DONORS CAPITAL FUND,MACKINAC CENTER FOR PUBLIC POLICY,10014793.155321,False
DUNN FOUNDATION THE,MACKINAC CENTER FOR PUBLIC POLICY,1682000.16412,False
E. L. CRAIG FOUNDATION,MACKINAC CENTER FOR PUBLIC POLICY,239554.73098,False
ED UIHLEIN FAMILY FOUNDATION,MACKINAC CENTER FOR PUBLIC POLICY,0.0,False
EWING MARION KAUFFMAN FOUNDATION,MACKINAC CENTER FOR PUBLIC POLICY,0.0,False
EXXONMOBIL FOUNDATION,MACKINAC CENTER FOR PUBLIC POLICY,0.0,False
"F. M. KIRBY FOUNDATION, INC.",MACKINAC CENTER FOR PUBLIC POLICY,0.0,False
FRED MAYTAG FAMILY FOUNDATION,MACKINAC CENTER FOR PUBLIC POLICY,0.0,False
FREDERICK E. AND JULIA G. NONNEMAN FOUNDATION,MACKINAC CENTER FOR PUBLIC POLICY,0.0,False
"GALASHIELS FUND, LTD",MACKINAC CENTER FOR PUBLIC POLICY,0.0,False
GLEASON FAMILY FOUNDATION,MACKINAC CENTER FOR PUBLIC POLICY,0.0,False
GREATER HOUSTON COMMUNITY FOUNDATION,MACKINAC CENTER FOR PUBLIC POLICY,0.0,False
GROVER HERMANN FOUNDATION The,MACKINAC CENTER FOR PUBLIC POLICY,0.0,False
HERBERT H. AND GRACE A. DOW FOUNDATION The,MACKINAC CENTER FOR PUBLIC POLICY,4399495.070925,False
