org,data_filled,ein,guidestar,nccs,category,geographic_focus,combine_name,billionaire,ruling_year,naics_code,sic_code,ntee_code,address,state,id
"WILLIAM E. SIMON FOUNDATION, INC.",True,136217788,True,,Family,"New York, California, Haiti, Democratic Republic of the Congo, South Sudan, New Jersey, Iraq, Nepal, Rwanda, Afghanistan, Washington, D.C., Bosnia and Herzegovina, Nigeria, Kosovo","WILLIAM E. SIMON FOUNDATION, INC.",,1967.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"140 E 45th St Ste 14d  
 New York, NY 10017 
 www.wesimonfoundation.org",NY,829
"WILLIAM K. BOWES, JR. FOUNDATION",True,943148482,True,,Family,"California, Sweden, Brazil, France, Italy, Mexico, Puerto Rico","WILLIAM K. BOWES, JR. FOUNDATION",,1992.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"1660 Bush St # 300  San Francisco CA 94109-5308
 San Francisco, CA 94109 
 WWW.WKBOWESJRFOUNDATION.ORG",CA,2191
DUNN FOUNDATION THE,True,650415977,True,,Family,"Washington, D.C., Virginia, Montana, California, United Kingdom, Ireland, Illinois, Pennsylvania",DUNN FOUNDATION THE,,1994.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"Foundation Source 501 Silverside Rd  
 Wilmington, DE 19809 ",DE,1810
JOHN TEMPLETON FOUNDATION,True,621322826,True,,Family,"National, Pennsylvania, Canada, Washington, D.C., New York, California, Illinois, United Kingdom, Massachusetts",JOHN TEMPLETON FOUNDATION,,1988.0,813219 Other Grantmaking and Giving Services,"8399 Social Services, NEC","Other Philanthropy, Voluntarism, and Grantmaking Foundations N.E.C. (T99)","300 Conshohocken State Rd  Conshohocken PA 19428-3801
 Conshohocken, PA 19428 
 www.templeton.org",PA,1416
SMITH RICHARDSON FOUNDATION,True,560611550,True,,Family,"National, International, Asia, Europe, Middle East, California, Virginia, China, Washington, D.C., Russia, Afghanistan, New York, Connecticut, United Kingdom, Massachusetts, North Carolina",SMITH RICHARDSON FOUNDATION,,1948.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"701 Green Valley Rd Ste 300  
 Greensboro, NC 27408 
 WWW.SRF.ORG",NC,594
AMBROSE MONELL FOUNDATION,True,131982683,True,,Independent,"New York, Dominican Republic, Haiti, Washington, D.C., Kazakhstan, Czech Republic ",AMBROSE MONELL FOUNDATION,,1953.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"1 Rockefeller Plz Rm 301  
 New York, NY 10020 
 WWW.MONELLFOUNDATION.ORG",NY,1214
ACHELIS AND BODMAN FOUNDATION THE,True,136022018,True,,Independent,"New York, Sudan, New Jersey, Iraq, Nepal, Syria",BODMAN FOUNDATIONS,,1941.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"767 3rd Ave  New York NY 10017-2023
 New York, NY 10017 
 WWW.ACHELIS-BODMAN-FNDS.ORG",NY,1687
BODMAN FOUNDATION THE,True,136022016,True,,Independent,"New York, New Jersey, Czech Republic, Spain, Philippines, Egypt, Portugal, Afghanistan, Washington, D.C., Pakistan, Sudan, Iran, Israel",BODMAN FOUNDATIONS,,1946.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"767 3rd Ave  
 New York, NY 10017 
 WWW.ACHELIS-BODMAN-FNDS.ORG",NY,1950
"LYNDE AND HARRY BRADLEY FOUNDATION, INC. THE",True,396037928,True,,Independent,"National, Wisconsin, Turkey, Canada, Washington, D.C., New York, Virginia, Mexico, Austria, California, Russia, Ukraine",LYNDE AND HARRY BRADLEY FOUNDATION,,1943.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Independent Foundations (T22),"1241 N Franklin Pl  
 Milwaukee, WI 53202 USA
 
                            Ms. Marion L Dow-Vass 
                          
 
                                Primary Contact Phone: (414) 291-9915
                              
 General@bradleyfdn.org
 Grants Administrator
 www.bradleyfdn.org
 
                                Main Office Phone: (414) 291-9915
                              
 1241 N Franklin Pl  
 Milwaukee, WI 53202 ",WI,36
CLAWS FOUNDATION,True,201658710,True,,Independent,"Pennsylvania, Virginia, Israel, Washington, D.C., New York, California",CLAWS FOUNDATION,,2004.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"12030 Sunrise Valley Dr Ste 450  
 Reston, VA 20191 
 N/A",VA,673
DANIELS FUND,True,841393308,True,,Independent,"Colorado, Wyoming, New Mexico, Utah, Guatemala, United Kingdom, Malaysia, South Africa, Canada, Mexico, Vietnam, Zimbabwe",DANIELS FUND,,1997.0,813219 Other Grantmaking and Giving Services,"8399 Social Services, NEC","Other Philanthropy, Voluntarism, and Grantmaking Foundations N.E.C. (T99)","101 Monroe St  
 Denver, CO 80206 
 WWW.DANIELSFUND.ORG",CO,2206
EWING MARION KAUFFMAN FOUNDATION,True,436064859,True,,Independent,"National, Missouri, Kansas, Washington, D.C., Dominican Republic, California, Spain, Italy, India, South Korea, China, Austria, New York",EWING MARION KAUFFMAN FOUNDATION,,1966.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"4801 Rockhill Rd  
 Kansas City, MO 64110 
 www.kauffman.org",MO,3500
"GALASHIELS FUND, LTD",True,943059858,True,,Independent,"Massachusetts, California, New Hampshire, Illinois, Indiana, New York, Washington, D.C., Zimbabwe","GALASHIELS FUND, LTD",,1988.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"555 Skokie Blvd Ste 555  
 Northbrook, IL 60062 
 N/A",IL,2200
JEAN PERKINS FOUNDATION,True,330436485,True,,Independent,"California, Texas",JEAN PERKINS FOUNDATION,,1991.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"10880 Wilshire Blvd Ste 800  
 Los Angeles, CA 90024 ",CA,3725
JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,True,237093598,True,,Independent,"National, International, India, Nigeria, Mexico, Illinois, New York, California, Russia, Washington, D.C., Massachusetts",JOHN D. AND CATHERINE T. MACARTHUR FOUNDATION,,1971.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Independent Foundations (T22),"140 South Dearborn Street Suite 1200 
 Chicago, IL 60603 USA
 
                            Ms. Kristen  Mack 
                          
 kmack@macfound.org
 Managing Director, Communications
 www.macfound.org
 
                                Main Office Phone: (312) 726-8000
                              
 140 South Dearborn Street Suite 1200 
 Chicago, IL 60603 
 140 South Dearborn Street Suite 1200 
 Chicago, IL 60603 ",IL,2770
JOHN WILLIAM POPE FOUNDATION,True,581691765,True,,Independent,"Washington, D.C., Virginia, North Carolina",JOHN WILLIAM POPE FOUNDATION,,1986.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"4601 Six Forks Rd Ste 300  
 Raleigh, NC 27609 USA
 
                             Kim  Overton 
                          
 info@jwpf.org
 Chief Administrative Officer
 www.jwpf.org
 4601 Six Forks Rd Ste 300  
 Raleigh, NC 27609 
 N/A  
 N/A, NC 99999 ",NC,1122
KORET FOUNDATION,True,941624987,True,,Independent,"California, Israel, Poland",KORET FOUNDATION,,1966.0,,,Unknown (Z99),"611 Front St  
 San Francisco, CA 94111 
 WWW.KORETFOUNDATION.ORG",CA,3010
M.J. MURDOCK CHARITABLE TRUST,True,237456468,True,,Independent,"Oregon, Idaho, Alaska, Washington, Montana, Rwanda, Russia, Canada, Haiti",M.J. MURDOCK CHARITABLE TRUST,,1975.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Independent Foundations (T22),"655 W Columbia Way Ste 700  
 Vancouver, WA 98660 
 WWW.MURDOCKTRUST.ORG",WA,3252
PIERRE F. AND ENID GOODRICH FOUNDATION,True,356056960,True,,Independent,"National, California, Virginia, Canada, Washington, D.C., Brazil, Guatemala, Michigan, United Kingdom, Indiana",PIERRE F. AND ENID GOODRICH FOUNDATION,,1966.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"11301 N Meridian St  
 Carmel, IN 46032 
 N/A",IN,3035
PROMETHEUS FOUNDATION,True,271456655,True,,Independent,"California, Virginia, United Kingdom, Washington, D.C., Colorado",PROMETHEUS FOUNDATION,,2010.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"2555 Altamar Dr  
 Laguna Beach, CA 92651 
 WWW.PROMETHEUSFDN.ORG",CA,3738
"S.D. BECHTEL, JR. FOUNDATION",True,203759208,True,,Independent,"California, China, Australia, West Bank/Gaza (Palestinian Territories), Egypt, Mexico, Vietnam, United Kingdom, Israel","S.D. BECHTEL, JR. FOUNDATION",,2006.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",(Private Independent Foundations) (T22),"Po Box 193809  
 San Francisco, CA 94119 USA
 

 N/A",CA,237
"SARAH SCAIFE FOUNDATION, INC.",True,251113452,True,,Independent,"Virginia, Washington, D.C., New York, Pennsylvania, United Kingdom",SCAIFE FAMILY FOUNDATIONS,,1960.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"301 Grant St Ste 3900  
 Pittsburgh, PA 15219 
 WWW.SCAIFE.COM",PA,2860
SEARLE FREEDOM TRUST,True,367244615,True,,Independent,"National, New York, Virginia, Jordan, Illinois, Washington, D.C., Canada, Holy See, California",SEARLE FREEDOM TRUST,,1999.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Independent Foundations (T22),"225 W Washington St Fl 28  Chicago IL 60606-3563
 Chicago, IL 60606 ",IL,286
HERBERT H. AND GRACE A. DOW FOUNDATION THE,True,381437485,True,,Independent,"Michigan, Mexico, Canada",HERBERT H. AND GRACE A. DOW FOUNDATION The,,1943.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"1018 W Main St  
 Midland, MI 48640 
 WWW.HHGADOWFDN.ORG",MI,3372
STARR FOUNDATION THE,True,136151545,True,,Independent,"National, International, New York, Asia, Japan, Israel, China",STARR FOUNDATION The,,1958.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"399 Park Avenue 3rd Fl  
 New York, NY 10022 USA
 
                             Abigail  Opoku-Agyemang 
                          
 
                                Primary Contact Phone: (212) 909-3600
                              
 abigail.opoku@starrfoundation.org
 Director, Program and Grants Administration
 http://starrfoundation.org
 
                                Main Office Phone: (212) 909-3600
                              
 399 Park Avenue 3rd Fl  
 New York, NY 10022 
 399 Park Avenue 3rd Fl  
 New York, NY 10022 ",NY,1670
WILLIAM AND FLORA HEWLETT FOUNDATION THE,True,941655673,True,,Independent,"California, China, Latin America, Southern Asia, Sub-Saharan Africa, India, Brazil, Mexico, Washington, D.C.",WILLIAM AND FLORA HEWLETT FOUNDATION The,,1968.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Corporate Foundations (T21),"2121 Sand Hill Rd  
 Menlo Park, CA 94025 USA
 

 
                                Primary Contact Phone: () -
                              
 https://hewlett.org/",CA,2471
THOMAS W SMITH FOUNDATION INC,True,473862135,True,,Independent,"Connecticut, Washington, D.C., New York, Virginia, Idaho",THOMAS W SMITH FOUNDATION INC,,2015.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Independent Foundations (T22),"2200 Butts Rd Ste 320  
 Boca Raton, FL 33431 ",FL,2550
"U.S. JUSTICE CHARITABLE FOUNDATION, INC.",True,262588270,True,,Independent,"Washington, D.C., Missouri, Colorado, California, Ohio, South Carolina, Pennsylvania","U.S. JUSTICE CHARITABLE FOUNDATION, INC.",,2008.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",(Private Independent Foundations) (T22),"2009 Massachusetts Avenue NW  
 Washington, DC 20036 USA
 

 N/A
 
                                Main Office Phone: (310) 529-9742
                              ",DC,3589
SUSQUEHANNA FOUNDATION,True,232732477,True,,Operating,"National, New York, Pennsylvania, Israel, Washington, D.C., Tanzania, Virginia",SUSQUEHANNA FOUNDATION,,1994.0,813211 Grantmaking Foundations,"6732 Trusts: Educational, Religious, Etc.",Private Grantmaking Foundations (T20),"401 E City Ave Ste 220  
 Bala Cynwyd, PA 19004 
 N/A",PA,2784
RICHARD SETH STALEY EDUCATIONAL FOUNDATION THE,True,953532336,True,,Operating,"Colorado, New York, California, Washington, D.C., Virginia, Washington",RICHARD SETH STALEY EDUCATIONAL FOUNDATION The,,1981.0,813219 Other Grantmaking and Giving Services,"8399 Social Services, NEC",Single Organization Support (B11),"PO Box 4129  
 Aspen, CO 81612 ",CO,2420
PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,False,530241211,True,,,,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,,1959.0,621999 All Other Miscellaneous Ambulatory Health Care Services,"8099 Health and Allied Services, NEC",Health Support Services (E60),"950 F St NW Ste 300  
 Washington, DC 20004 
 WWW.PHRMA.ORG",DC,156
