sic_code,sole_focus,id,ntee_code,ruling_year,ein,organization_type,state,combined_name,denial,peripheral_focus,naics_code,address,org,substantive_focus,delay,org_level_1,org_level_2,num_docs
"8399 SOCIAL SERVICES, NEC",False,3887,Civil Liberties Advocacy (R60),2002.0,26-0006579,501(c)(3),LE,,0.0,1.0,813311 Human Rights Organizations,"1090 Vermont Ave NW Ste 800  / Washington, DC 20005 / SEE SCHEDULE O",CENTER FOR CONSUMER FREEDOM,0.0,1.0,CENTER FOR CONSUMER FREEDOM,CENTER FOR CONSUMER FREEDOM,3598.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,1156,Research Institutes and/or Public Policy Analysis (W05),2001.0,54-2009193,501(c)(3),VA,,1.0,1.0,541720 Research and Development in the Social Sciences and Humanities,"PO Box 10882  / Alexandria, VA 22310 / www.freedomandprosperity.org",CENTER FOR FREEDOM AND PROSPERITY FOUNDATION,0.0,1.0,CENTER FOR FREEDOM AND PROSPERITY FOUNDATION,CENTER FOR FREEDOM AND PROSPERITY FOUNDATION,5176.0
"8399 Social Services, NEC",False,422,"Civil Rights, Social Action, and Advocacy N.E.C. (R99)",1999.0,54-1916980,501(c)(4),VA,,1.0,0.0,813311 Human Rights Organizations,"1727 King St Ste 105  Alexandria VA 22314-2761/ Alexandria, VA 22314 / WWW.CFIF.ORG",CENTER FOR INDIVIDUAL FREEDOM,1.0,1.0,CENTER FOR INDIVIDUAL FREEDOM,CENTER FOR INDIVIDUAL FREEDOM,2240.0
"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",True,1118,Promotion of Business (Chambers of Commerce) (S41),2009.0,26-1608721,501(c)(6),DC,,0.0,0.0,813910 Business Associations,"1220 L St NW Fl 9  / Washington, DC 20005 / WWW.LNGFACTS.ORG",CENTER FOR LIQUEFIED NATURAL GAS,1.0,1.0,CENTER FOR LIQUEFIED NATURAL GAS,CENTER FOR LIQUEFIED NATURAL GAS,242.0
"8062 GENERAL MEDICAL AND SURGICAL HOSPITALS/ 8069 SPECIALTY HOSPITALS, EXCEPT PSYCHIATRIC",True,1633,Hospitals and Primary Medical Care Facilities (E20),1998.0,86-0902777,501(c)(3),AZ,,1.0,0.0,622110 General Medical and Surgical Hospitals,"5219 S Reseda St  / Gilbert, AZ 85298 / www.co2science.org",CENTER FOR THE STUDY OF CARBON DIOXIDE AND GLOBAL CHANGE,1.0,1.0,CENTER FOR THE STUDY OF CARBON DIOXIDE AND GLOBAL CHANGE,CENTER FOR THE STUDY OF CARBON DIOXIDE AND GLOBAL CHANGE,168.0
8322 Individual and Family Services,False,1487,Other Youth Development N.E.C. (O99),1989.0,36-3611426,501(c)(3),MN,,1.0,0.0,624110 Child and Youth Services,"8421 Wayzata Blvd Ste 110  Minneapolis MN 55426-1353/ Minneapolis, MN 55426 / www.americanexperiment.org",CENTER OF THE AMERICAN EXPERIMENT,1.0,1.0,CENTER OF THE AMERICAN EXPERIMENT,CENTER OF THE AMERICAN EXPERIMENT,4571.0
"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",False,495,Promotion of Business (Chambers of Commerce) (S41),1940.0,53-0045720,501(c)(6),DC,,0.0,0.0,813910 Business Associations,"1615 H St NW  Washington DC 20062-0001/ Washington, DC 20062 / www.uschamber.com",CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA,1.0,1.0,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA,CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA,2100.0
"8641 Civic and Social Associations/ 8699 Membership Organizations, NEC",False,3132,Citizen Participation (W24),1984.0,52-1363952,501(c)(3),DC,,0.0,0.0,813410 Civic and Social Organizations,"1100 Connecticut Ave., NW Suite 650 / Washington, DC 20036 USA/ / WWW.CAGW.ORG/                                 Main Office Phone: (202) 467-5300 Ext 20036                              / 1100 Connecticut Ave., NW Suite 650 / Washington, DC 20036",CITIZENS AGAINST GOVERNMENT WASTE,1.0,1.0,CITIZENS AGAINST GOVERNMENT WASTE,CITIZENS AGAINST GOVERNMENT WASTE,5004.0
"8299 SCHOOLS AND EDUCATIONAL SERVICES/ 8748 BUSINESS CONSULTING, NEC",False,612,Educational Services and Schools - Other (B90)/ Leadership Development (W70),1993.0,54-1672138,501(c)(3),VA,,1.0,0.0,611710 Educational Support Services,"112 Elden Street Suite P / Herndon, VA 20170 USA/                              Camille  Hart                           /                                 Primary Contact Phone: (817) 691- Ext 9672                              / chart@cblpi.org/ Events Director/ www.cblpi.org/                                 Main Office Phone: (703) 318-0730                              / 112 Elden Street Suite P / Herndon, VA 20170 / 112 Elden Street Suite P / Herndon, VA 20170",CLARE BOOTHE LUCE POLICY INSTITUTE,1.0,1.0,CLARE BOOTHE LUCE POLICY INSTITUTE,CLARE BOOTHE LUCE POLICY INSTITUTE,732.0
"7999 Amusement and Recreation, NEC/ 8422 Botanical and Zoological Gardens",True,3723,Environmental Education and Outdoor Survival Programs (C60),2015.0,47-3722575,501(c)(3),VA,,1.0,0.0,712190 Nature Parks and Other Similar Institutions,"1621 N Kent St Ste 603  / Arlington, VA 22209 / CO2COALITION.ORG",CO2 COALITION,1.0,1.0,CO2 COALITION,CO2 COALITION,1934.0
2741 MISCELLANEOUS PUBLISHING,True,3061,"Printing, Publishing (A33)",1987.0,52-1462893,501(c)(3),DC,,1.0,0.0,511199 All Other Publishers,"1717 Pennsylvania Ave NW Ste 1025  / Washington, DC 20006 / WWW.CFACT.ORG",COMMITTEE FOR A CONSTRUCTIVE TOMORROW,1.0,1.0,COMMITTEE FOR A CONSTRUCTIVE TOMORROW,COMMITTEE FOR A CONSTRUCTIVE TOMORROW,5384.0
8733 Noncommercial Research Organizations/ 8732 Commercial Nonphysical Research,False,3030,Research Institutes and/or Public Policy Analysis (W05),1988.0,74-6047137,501(c)(3),PA,,0.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"225 STATE ST STE 302  / HARRISBURG, PA 17101 USA/                              Charles  Mitchell                           /                                 Primary Contact Phone: (717) 671-1901                              / info@commonwealthfoundation.org/ President/ www.CommonwealthFoundation.org/                                 Main Office Phone: (717) 671-1901                              / 225 STATE ST STE 302  / HARRISBURG, PA 17101",COMMONWEALTH FOUNDATION,1.0,1.0,COMMONWEALTH FOUNDATION,COMMONWEALTH FOUNDATION,2392.0
8733 Noncommercial Research Organizations/ 8732 Commercial Nonphysical Research,False,1708,Research Institutes and/or Public Policy Analysis (V05),1984.0,52-1351785,501(c)(3),DC,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"1310 L Street NW 7th Floor / Washington, DC 20005 USA/                             Ms. Annie  Dwyer                           /                                 Primary Contact Phone: (202) 331-1010                              / annie.dwyer@cei.org/ Vice President of Communications/ http://www.cei.org//                                 Main Office Phone: (202) 331-1010                              / 1310 L Street NW 7th Floor / Washington, DC 20005 / 1310 L Street NW 7th Floor / Washington, DC 20005",COMPETITIVE ENTERPRISE INSTITUTE,1.0,1.0,COMPETITIVE ENTERPRISE INSTITUTE,COMPETITIVE ENTERPRISE INSTITUTE,1044.0
"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",False,528,Community Coalitions (S21),2017.0,81-4138103,501(c)(4),VA,,0.0,0.0,813410 Civic and Social Organizations,"2221 S Clark St  / Arlington, VA 22202 / CASEFORCONSUMERS.ORG",CONSUMER ACTION FOR A STRONG ECONOMY,1.0,1.0,CONSUMER ACTION FOR A STRONG ECONOMY,CONSUMER ACTION FOR A STRONG ECONOMY,367.0
,False,1170,,,84-2358602,501(c)(4),,,0.0,0.0,,,CONSUMER CHOICE CENTER,1.0,1.0,CONSUMER CHOICE CENTER,CONSUMER CHOICE CENTER,1173.0
,True,3408,Public Utilities (W80),2008.0,26-1658339,501(c)(4),TX,,0.0,0.0,221 Utilities,"2211 Norfolk St  / Houston, TX 77098 / www.consumerenergyalliance.org",CONSUMER ENERGY ALLIANCE,1.0,1.0,CONSUMER ENERGY ALLIANCE,CONSUMER ENERGY ALLIANCE,2391.0
,False,413,,,83-2237067,501(c)(3),,,1.0,0.0,,,CORNWALL ALLIANCE FOR THE STEWARDSHIP OF CREATION,1.0,1.0,CORNWALL ALLIANCE FOR THE STEWARDSHIP OF CREATION,CORNWALL ALLIANCE FOR THE STEWARDSHIP OF CREATION,1319.0
2741 MISCELLANEOUS PUBLISHING,False,786,"Printing, Publishing (A33)",2013.0,45-2922471,501(c)(3),DC,,1.0,0.0,511199 All Other Publishers,"1920 L St NW Ste 205  / Washington, DC 20036 / N/A",DAILY CALLER NEWS FOUNDATION THE,1.0,1.0,DAILY CALLER NEWS FOUNDATION THE,DAILY CALLER NEWS FOUNDATION THE,1783.0
,False,3354,Unknown (Z99),1996.0,91-1521697,501(c)(3),WA,,1.0,1.0,,"208 Columbia St  / Seattle, WA 98104 / WWW.DISCOVERY.ORG",DISCOVERY INSTITUTE,0.0,1.0,DISCOVERY INSTITUTE,DISCOVERY INSTITUTE,3633.0
"8099 HEALTH AND ALLIED SERVICES, NEC",True,2455,Health - General and Rehabilitative N.E.C. (E99),1984.0,59-2414338,501(c)(3),AZ,,1.0,0.0,621999 All Other Miscellaneous Ambulatory Health Care Services,"1601 N Tucson Blvd Ste 9  / Tucson, AZ 85716",DOCTORS FOR DISASTER PREPAREDNESS,1.0,1.0,DOCTORS FOR DISASTER PREPAREDNESS,DOCTORS FOR DISASTER PREPAREDNESS,132.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,True,3330,Research Institutes and/or Public Policy Analysis (Y05),2010.0,26-4396861,501(c)(6),OK,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"PO Box 33190  / Tulsa, OK 74153 / www.depausa.org",DOMESTIC ENERGY PRODUCERS ALLIANCE,1.0,1.0,DOMESTIC ENERGY PRODUCERS ALLIANCE,DOMESTIC ENERGY PRODUCERS ALLIANCE,241.0
4833 TELEVISION BROADCASTING STATIONS,False,1430,Television (A32),2000.0,91-2053400,501(c)(3),WA,,1.0,0.0,515120 Television Broadcasting,"2247 15th Ave W  / Seattle, WA 98119",E PLURIBUS UNUM FILMS,1.0,1.0,E PLURIBUS UNUM FILMS,E PLURIBUS UNUM FILMS,491.0
"8399 SOCIAL SERVICES, NEC",False,3161,Right to Life (R62),1976.0,51-0189035,501(c)(4),IL,,1.0,1.0,813311 Human Rights Organizations,"200 W 3rd St Ste 502  / Alton, IL 62002 / WWW.EAGLEFORUM.ORG",EAGLE FORUM,0.0,1.0,EAGLE FORUM,EAGLE FORUM,632.0
"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",True,1201,Promotion of Business (Chambers of Commerce) (S41),1942.0,13-0659550,501(c)(6),DC,,1.0,0.0,813910 Business Associations,"701 Pennsylvania Ave NW  Washington DC 20004-2608/ Washington, DC 20004 / WWW.EEI.ORG",EDISON ELECTRIC INSTITUTE,1.0,1.0,EDISON ELECTRIC INSTITUTE,EDISON ELECTRIC INSTITUTE,8951.0
,True,2311,,,84-2875437,501(c)(4),,,0.0,0.0,,,EMPOWERMENT ALLIANCE THE,1.0,1.0,EMPOWERMENT ALLIANCE THE,EMPOWERMENT ALLIANCE THE,107.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,True,2283,Research Institutes and/or Public Policy Analysis (C05),2009.0,26-4239065,501(c)(3),DC,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"722 12th St NW  / Washington, DC 20005 / WWW.EELEGAL.ORG",ENERGY & ENVIRONMENT LEGAL INSTITUTE,1.0,1.0,ENERGY & ENVIRONMENT LEGAL INSTITUTE,ENERGY & ENVIRONMENT LEGAL INSTITUTE,1346.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,3172,Research Institutes and/or Public Policy Analysis (A05),1991.0,22-3092292,501(c)(3),VT,,0.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"4836 Kirby Mountain Rd  Concord VT 05824-9798/ Concord, VT 05824 / www.ethanallen.org",ETHAN ALLEN INSTITUTE,1.0,1.0,ETHAN ALLEN INSTITUTE,ETHAN ALLEN INSTITUTE,418.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,2433,"Law, International Law, and Jurisprudence (V26)",1983.0,36-3235550,501(c)(3),DC,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"1776 I St NW Suite 300 / WASHINGTON, DC 20006 USA/                              Cynthia  Searcy                           /                                 Primary Contact Phone: (202) 822-8138                              / cynthia.searcy@fed-soc.org/ Vice President & Director, Development/ https://fedsoc.org//                                 Main Office Phone: (202) 822-8138                              / 1776 I St NW Suite 300 / WASHINGTON, DC 20006 / 1776 I St NW Suite 300 / WASHINGTON, DC 20006",FEDERALIST SOCIETY FOR LAW AND PUBLIC POLICY STUDIES,1.0,1.0,FEDERALIST SOCIETY FOR LAW AND PUBLIC POLICY STUDIES,FEDERALIST SOCIETY FOR LAW AND PUBLIC POLICY STUDIES,2011.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,3290,Research Institutes and/or Public Policy Analysis (B05)/ Economics (as a Social Science) (V22)/ Other Youth Development N.E.C. (O99),1947.0,13-6006960,501(c)(3),GA,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"1819 Peachtree Road NE Suite 300 / Atlanta, GA 30309 USA/                             Mr. Richard N Lorenc                           /                                 Primary Contact Phone: (404) 554-9980                              / rlorenc@fee.org/ Executive Vice President/ FEE.org/                                 Main Office Phone: (404) 554-9980                              / 1819 Peachtree Road NE Suite 300 / Atlanta, GA 30309",FOUNDATION FOR ECONOMIC EDUCATION,1.0,1.0,FOUNDATION FOR ECONOMIC EDUCATION,FOUNDATION FOR ECONOMIC EDUCATION,
,False,3590,Unknown (Z99),1996.0,94-3170425,501(c)(3),MT,,0.0,0.0,,"PO Box 555  Gallatin Gateway MT 59730-0555/ Gallatin Gateway, MT 59730",FOUNDATION FOR RESEARCH ON ECONOMICS AND THE ENVIRONMENT,1.0,1.0,FOUNDATION FOR RESEARCH ON ECONOMICS AND THE ENVIRONMENT,FOUNDATION FOR RESEARCH ON ECONOMICS AND THE ENVIRONMENT,960.0
"8399 SOCIAL SERVICES, NEC",False,856,"Civil Rights, Social Action, and Advocacy N.E.C. (R99)",2016.0,47-5598652,501(c)(3),DC,,1.0,0.0,813311 Human Rights Organizations,"611 Pennsylvania Avenue SE #259  / Washington, DC 20003 USA/                              Terry  Kibbe                           / tkibbe@freethepeople.org/ Chief Executive Officer/ https://freethepeople.org/ 611 Pennsylvania Avenue SE #259  / Washington, DC 20003",FREE THE PEOPLE,1.0,1.0,FREE THE PEOPLE,FREE THE PEOPLE,499.0
7812 MOTION PICTURE AND VIDEO PRODUCTION,False,178,"Film, Video (A31)/ Educational Services and Schools - Other (B90)",1986.0,52-1455677,501(c)(3),PA,,0.0,0.0,512110 Motion Picture and Video Production,"2002 Filmore Avenue  / Erie, PA 16506 USA/                             Mrs. Cindee  Behrendt                           /                                 Primary Contact Phone: (814) 833-7140 Ext 101                              / clb3@freetochoosenetwork.org/ Director of Corporate Affairs/ http://www.freetochoosenetwork.org/                                 Main Office Phone: (814) 833-7140                              / 2002 Filmore Avenue  / Erie, PA 16506 / 2002 Filmore Avenue  / Erie, PA 16506",FREE TO CHOOSE NETWORK,1.0,1.0,FREE TO CHOOSE NETWORK,FREE TO CHOOSE NETWORK,13.0
"8641 Civic and Social Associations/ 8699 Membership Organizations, NEC",False,2434,"Public Finance, Taxation, Monetary Policy (W22)",1984.0,52-1349353,501(c)(4),DC,FREEDOMWORKS,1.0,0.0,813410 Civic and Social Organizations,"111 K St NE Fl 6  / Washington, DC 20002 / https://www.freedomworks.org/",FREEDOMWORKS,1.0,1.0,FREEDOMWORKS,FREEDOMWORKS,11660.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,3468,"Research Institutes and/or Public Policy Analysis (B05)/ Public, Society Benefit - Multipurpose and Other N.E.C. (W99)/ Public Finance, Taxation, Monetary Policy (W22)",1989.0,52-1526916,501(c)(3),DC,FREEDOMWORKS,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"111 K St NE Suite 600 / Washington, DC 20002 USA/                             Ms. Parissa  Sedghi                           /                                 Primary Contact Phone: (202) 942-7645                              / psedghi@freedomworks.org/ Vice President of Development/ www.freedomworks.org/foundation/                                 Main Office Phone: (202) 783-3870                              / 111 K St NE Suite 600 / Washington, DC 20002 / 111 K St NE Suite 600 / Washington, DC 20002",FREEDOMWORKS FOUNDATION,1.0,1.0,FREEDOMWORKS FOUNDATION,FREEDOMWORKS,
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,166,"International Affairs, Foreign Policy, & Globalization (Q50)",2014.0,54-1773197,501(c)(3),VA,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"4094 Majestic Ln Ste 380  / Fairfax, VA 22033 / http://www.ffinst.org",FRONTIERS OF FREEDOM INSTITUTE AND FOUNDATION,1.0,1.0,FRONTIERS OF FREEDOM INSTITUTE AND FOUNDATION,FRONTIERS OF FREEDOM INSTITUTE AND FOUNDATION,3370.0
8621 PROFESSIONAL ORGANIZATIONS,False,3736,"Professional Societies, Associations (R03)",1989.0,74-2543375,501(c)(3),VA,,1.0,1.0,813920 Professional Organizations,"11350 Random Hills Rd  Fairfax VA 22030-6044/ Fairfax, VA 22030 / www.fff.org",FUTURE OF FREEDOM FOUNDATION,0.0,1.0,FUTURE OF FREEDOM FOUNDATION,FUTURE OF FREEDOM FOUNDATION,9211.0
"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",False,2721,(Government and Public Administration) (W20),1994.0,52-1844456,501(c)(3),NY,,0.0,0.0,813410 Civic and Social Organizations,"155 Water Street Suite 4/12 / Brooklyn, NY 11201 USA/                              Trevor W Butterworth                           /                                 Primary Contact Phone: (202) 8412868                              / trevor@sensci.org/ Director, Sense About Science USA/ www.stats.org",GENETIC LITERACY PROJECT,1.0,1.0,GENETIC LITERACY PROJECT,GENETIC LITERACY PROJECT,28124.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,3483,Research Institutes and/or Public Policy Analysis (R05),1991.0,58-1943161,501(c)(3),GA,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"3200 Cobb Galleria Parkway Suite 214 / Atlanta, GA 30339 USA/                             Mr. Kyle  Wingfield                           /                                 Primary Contact Phone: (404) 256-4050                              / kylew@georgiapolicy.org/ President and CEO/ www.georgiapolicy.org/                                 Main Office Phone: (404) 256-4050                              / 3200 Cobb Galleria Parkway Suite 214 / Atlanta, GA 30339 / 3200 Cobb Galleria Parkway Suite 214 / Atlanta, GA 30339",GEORGIA PUBLIC POLICY FOUNDATION,1.0,1.0,GEORGIA PUBLIC POLICY FOUNDATION,GEORGIA PUBLIC POLICY FOUNDATION,1155.0
"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",False,125,Government and Public Administration (W20),2018.0,82-4033903,501(c)(3),VA,,1.0,0.0,813410 Civic and Social Organizations,"324 Logtrac Rd  / Stanardsville, VA 22973 / govoversight.org",GOVERNMENT ACCOUNTABILITY AND OVERSIGHT,1.0,1.0,GOVERNMENT ACCOUNTABILITY AND OVERSIGHT,GOVERNMENT ACCOUNTABILITY AND OVERSIGHT,306.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,1290,Research Institutes and/or Public Policy Analysis (B05)/ Research Institutes and/or Public Policy Analysis (P05)/ Research Institutes and/or Public Policy Analysis (W05),1984.0,36-3309812,501(c)(3),IL,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"3939 N Wilke Rd  / Arlington Heights, IL 60004 USA/                             Mr. David C Hoyt                           /                                 Primary Contact Phone: (312) 377-4000                              / dhoyt@heartland.org/ Executive Director of Development/ www.heartland.org/                                 Main Office Phone: (312) 377-4000                              / 3939 N Wilke Rd  / Arlington Heights, IL 60004",HEARTLAND INSTITUTE,1.0,1.0,HEARTLAND INSTITUTE,HEARTLAND INSTITUTE,29241.0
"8399 Social Services, NEC/ 8641 Civic and Social Associations",False,2552,Alliance/Advocacy Organizations (E01),2010.0,27-2244700,501(c)(4),DC,HERITAGE FOUNDATION,1.0,0.0,813319 Other Social Advocacy Organizations,"214 Massachusetts Ave NE Ste 400  / Washington, DC 20002 / WWW.HERITAGEACTION.COM",HERITAGE ACTION FOR AMERICA,1.0,1.0,HERITAGE ACTION FOR AMERICA,HERITAGE FOUNDATION,
"8641 Civic and Social Associations/ 8699 Membership Organizations, NEC",False,1955,"Public Finance, Taxation, Monetary Policy (W22)/ Citizen Participation (W24)/ Public, Society Benefit - Multipurpose and Other N.E.C. (W99)",1973.0,41-1275875,501(c)(3),DC,HERITAGE FOUNDATION,1.0,0.0,813410 Civic and Social Organizations,"214 Massachusetts Ave NE  / Washington, DC 20002 USA/                             Mr. Carsten  Walter                           /                                 Primary Contact Phone: (202) 608-6034                              / carsten.walter@heritage.org/ Vice President, Development Operations/ http://www.heritage.org",HERITAGE FOUNDATION,1.0,1.0,HERITAGE FOUNDATION,HERITAGE FOUNDATION,31442.0
,False,345,,,00-0000000,501(c)(3),,,1.0,0.0,,,HOOVER INSTITUTION,1.0,1.0,HOOVER INSTITUTION,HOOVER INSTITUTION,7727.0
"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",False,3317,"Public, Society Benefit - Multipurpose and Other N.E.C. (W99)/ Public, Society Benefit - Multipurpose and Other N.E.C. (W99)/ Government and Public Administration (W20)",1963.0,13-1945157,501(c)(3),DC,,0.0,0.0,813410 Civic and Social Organizations,"1201 Pennsylvania Avenue N.W. Suite 400 / Washington, DC 20004 USA/                             Dr. Kenneth R.   Weinstein                           /                                 Primary Contact Phone: (202) 974-2400                              / kweinstein@hudson.org/ President and CEO/ http://www.hudson.org/                                 Main Office Phone: (202) 9742400                              / 1201 Pennsylvania Avenue N.W. Suite 400 / Washington, DC 20004 / 1201 Pennsylvania Avenue N.W. Suite 400 / Washington, DC 20004",HUDSON INSTITUTE,1.0,1.0,HUDSON INSTITUTE,HUDSON INSTITUTE,2348.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,2792,Research Institutes and/or Public Policy Analysis (W05),1985.0,84-0990300,501(c)(3),CO,,0.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"727 E 16th Ave  / Denver, CO 80203 / N/A",INDEPENDENCE INSTITUTE,1.0,1.0,INDEPENDENCE INSTITUTE,INDEPENDENCE INSTITUTE,519.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,2623,Research Institutes and/or Public Policy Analysis (W05)/ Research Institutes and/or Public Policy Analysis (Q05)/ Economics (as a Social Science) (V22),1986.0,94-3008370,501(c)(3),CA,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"100 Swan Way  / Oakland, CA 94621 USA/                             Mr. Martin  Buerger                           /                                 Primary Contact Phone: (510) 632-1366 Ext 110                              / mbuerger@independent.org/ Vice President and Chief Operating Officer/ http://www.independent.org/                                 Main Office Phone: (510) 632-1366                              / 100 Swan Way  / Oakland, CA 94621 / 100 Swan Way  / Oakland, CA 94621",INDEPENDENT INSTITUTE,1.0,1.0,INDEPENDENT INSTITUTE,INDEPENDENT INSTITUTE,5338.0
,True,2978,Education N.E.C. (B99),1960.0,73-0296927,501(c)(6),DC,,0.0,0.0,611 Educational Services,"1201 15th St NW Ste 300  / Washington, DC 20005 / WWW.IPAA.ORG",INDEPENDENT PETROLEUM ASSOCIATION OF AMERICA,1.0,1.0,INDEPENDENT PETROLEUM ASSOCIATION OF AMERICA,INDEPENDENT PETROLEUM ASSOCIATION OF AMERICA,2406.0
"8611 Business Associations/ 8699 Membership Organizations, NEC",True,3334,Promotion of Business (Chambers of Commerce) (S41),1979.0,85-0267696,501(c)(6),NM,,0.0,0.0,813910 Business Associations,"PO Box 6101  / Roswell, NM 88202 / WWW.IPANM.ORG",INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO,1.0,1.0,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO,INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO,412.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,False,1782,Research Institutes and/or Public Policy Analysis (W05),1993.0,54-1670627,501(c)(3),VA,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"4 Weems Lane #312 / Winchester, VA 22601 USA/                             Ms. Carrie  Lukas                           /                                 Primary Contact Phone: (202) 807-9986                              / carrie.lukas@iwf.org/ President/ www.iwf.org/                                 Main Office Phone: (202) 807-9986                              / 4 Weems Lane #312 / Winchester, VA 22601 / 4 Weems Lane #312 / Winchester, VA 22601",INDEPENDENT WOMEN'S FORUM,1.0,1.0,INDEPENDENT WOMEN'S FORUM,INDEPENDENT WOMEN'S FORUM,2523.0
8621 PROFESSIONAL ORGANIZATIONS,False,3322,"Professional Societies, Associations (W03)",1989.0,35-1758480,501(c)(3),IN,,1.0,1.0,813920 Professional Organizations,"PO Box 5166  / Fort Wayne, IN 46895 / WWW.INPOLICY.ORG",INDIANA POLICY REVIEW FOUNDATION,0.0,1.0,INDIANA POLICY REVIEW FOUNDATION,INDIANA POLICY REVIEW FOUNDATION,1761.0
,True,3903,Public Utilities (W80),1984.0,22-2466569,501(c)(6),DC,,0.0,0.0,221 Utilities,"1776 K St NW Ste 720  / Washington, DC 20006 / N/A",INDUSTRIAL ENERGY CONSUMERS OF AMERICA,1.0,1.0,INDUSTRIAL ENERGY CONSUMERS OF AMERICA,INDUSTRIAL ENERGY CONSUMERS OF AMERICA,816.0
8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,True,165,Research Institutes and/or Public Policy Analysis (C05),1985.0,76-0149778,501(c)(3),DC,,1.0,0.0,541720 Research and Development in the Social Sciences and Humanities,"1155 15th St NW Ste 900  / Washington, DC 20005 / WWW.INSTITUTEFORENERGYRESEARCH.ORG",INSTITUTE FOR ENERGY RESEARCH,1.0,1.0,INSTITUTE FOR ENERGY RESEARCH,INSTITUTE FOR ENERGY RESEARCH,2111.0
