org,crp_code,crp_cat1,crp_cat2
INDIANA STATE SENATE,J1100,REPUBLICAN/CONSERVATIVE,IDEOLOGICAL/SINGLE-ISSUE
INSTITUT D'ETUDES POLITIQUES,H5100,SCHOOLS & COLLEGES,OTHER
INSTITUTE FOR ECONOMIC STUDIES,X4000,NON-PROFITS,OTHER
INSTITUTE FOR ENERGY RESEARCH,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
INSTITUTE FOR HUMANE STUDIES,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
INSTITUTE FOR JUSTICE,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
INTELLIGENCE SQUARED US DEBATES FOUNDATION,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
INTERCOLLEGIATE STUDIES INSTITUTE,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
INTERNATIONAL ASSOCIATION FOR QUANTITATIVE FINANCE,X4000,NON-PROFITS,OTHER
INTERNATIONAL CAPITAL & MANAGEMENT COMPANY,F5000,FINANCIAL SERVICES & CONSULTING ,"FINANCE, INSURANCE, AND REAL ESTATE"
INTERNATIONAL ISRAEL ALLIES CAUCUS FOUNDATION,J5100,PRO-ISRAEL,IDEOLOGICAL/SINGLE-ISSUE
INTERNATIONAL POLICY NETWORK,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
INTERNATIONAL TAX AND INVESTMENT CENTER,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
INVICTUS INVESTMENTS LLC,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
ION GEOPHYSICAL CORPORATION,C5130,DATA PROCESSING & COMPUTER SERVICES,COMMUNICATIONS/ELECTRONICS
IOWA HOUSE OF REPRESENTATIVES,J1100,REPUBLICAN/CONSERVATIVE,IDEOLOGICAL/SINGLE-ISSUE
IVERSON GENETICS,H3400,MEDICAL LABORATORIES,HEALTH
J. P. HUMPHREYS FOUNDATION,X4100,NON-PROFIT FOUNDATIONS,OTHER
JACKSONVILLE PORT AUTHORITY,X3000,CIVIL SERVANT/PUBLIC EMPLOYEE,OTHER
Jaguar Health Inc,H4300,PHARMACEUTICAL MANUFACTURING,HEALTH
JAMES MADISON INSTITUTE,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
JAMES WILSON INSTITUTE,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
JAMESTOWN-YORKTOWN FOUNDATION,X4200,"MUSEUMS, ART GALLERIES, LIBRARIES, ETC. ",OTHER
JOHN ADAMS CENTER,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
JOHNSON SMICK INTERNATIONAL INC,F5000,FINANCIAL SERVICES & CONSULTING ,"FINANCE, INSURANCE, AND REAL ESTATE"
JOURNAL OF SCHOOL CHOICE,C1000,PRINTING AND PUBLISHING (PRINTED & ONLINE),COMMUNICATIONS/ELECTRONICS
JP WEIGAND AND SONS INC,F4000,REAL ESTATE,"FINANCE, INSURANCE, AND REAL ESTATE"
JUNKSCIENCE.COM,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
JUUL LABS,A1300,TOBACCO & TOBACCO PRODUCTS,AGRIBUSINESS
KANSAS CHAMBER THE,G1100,CHAMBERS OF COMMERCE,MISC BUSINESS
KANSAS INDEPENDENT OIL AND GAS ASSOCIATION,G1300,PRO-BUSINESS ASSOCIATION,MISC BUSINESS
KESHER ISRAEL CONGREGATION,X7000,"CHURCHES, CLERGY & RELIGIOUS ORGANIZATIONS",CLERGY & RELIGIOUS ORGANIZATIONS
KLH CAPITAL,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
KNOWLEDGE AND PROGRESS FUND,X4100,NON-PROFIT FOUNDATIONS,OTHER
KOCH FAMILY FOUNDATION,X4100,NON-PROFIT FOUNDATIONS,OTHER
KOCH INDUSTRIES INC,G0000,GENERAL COMMERCE,MISC BUSINESS
LAITRAM LLC,M0000,MANUFACTURING,MISC BUSINESS
LEAVITT PARTNERS,H3900,HEALTH CARE CONSULTANTS,HEALTH
LIBERTY CAPITAL ADVISORS LLC,F4700,OTHER REAL ESTATES SERVICES,"FINANCE, INSURANCE, AND REAL ESTATE"
LIBERTY JUSTICE CENTER,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
LIFT FOUNDATION,X4000,NON-PROFITS,OTHER
LOG CABIN REPUBLICANS,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,H5100,SCHOOLS & COLLEGES ,OTHER
LUMEN INSTITUTE,X7000,"CHURCHES, CLERGY & RELIGIOUS ORGANIZATIONS",CLERGY & RELIGIOUS ORGANIZATIONS
LUNAR EXPLORERS SOCIETY,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
MAINE STATE SENATE,J1100,REPUBLICAN/CONSERVATIVE,IDEOLOGICAL/SINGLE-ISSUE
MAK CAPITAL INVESTMENTS,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
MANHATTAN INSTITUTE FOR POLICY RESEARCH,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
"MARHSAL PETROLEUM, INC.",E1120,INDEPENDENT OIL & GAS PRODUCERS,ENERGY & NATURAL RESOURCES
MARIJUANA POLICY PROJECT,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
MARKETING INFORMATICS,G5280,MARKETING RESEARCH,MISC BUSINESS
MARKETPLACE MIDLAND,X7000,"CHURCHES, CLERGY & RELIGIOUS ORGANIZATIONS",CLERGY & RELIGIOUS ORGANIZATIONS
MAYS FAMILY FOUNDATION,X4100,NON-PROFIT FOUNDATIONS,OTHER
McGraw-Hill Education,C1000,PRINTING AND PUBLISHING (PRINTED & ONLINE),COMMUNICATIONS/ELECTRONICS
MCGUIREWOODS CONSULTING LLC,G5210,ADVERTISING & PUBLIC RELATIONS SERVICES,MISC BUSINESS
MCGUIREWOODS LLP,G5210,ADVERTISING & PUBLIC RELATIONS SERVICES,MISC BUSINESS
MECHANICAL TECHNOLOGY INC,B3400,"PLUMBING, HEATING & AIR CONDITIONING",CONSTRUCTION
MEDIASPEAK STRATEGIES,G5210,ADVERTISING & PUBLIC RELATIONS SERVICES,MISC BUSINESS
MERCATUS CENTER GEORGE MASON UNIVERSITY,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
METLIFE INC,F3100,"INSURANCE COMPANIES, BROKERS & AGENTS","FINANCE, INSURANCE, AND REAL ESTATE"
Metropolitan Planning Council,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
MIC COALITION,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
"MILES AND POINTS CONSULTING, LLC",F5000,FINANCIAL SERVICES & CONSULTING,"FINANCE, INSURANCE, AND REAL ESTATE"
MILLER BUCKFIRE,F2300,INVESTMENT BANKING,"FINANCE, INSURANCE, AND REAL ESTATE"
MISSISSIPPI HOUSE OF REPRESENTATIVES,J2400,"REPUBLICAN OFFICIALS, CANDIDATES & FORMER MEMBERS",IDEOLOGICAL/SINGLE-ISSUE
MOLSON COORS BREWING COMPANY,G2700,BEVERAGE BOTTLING & DISTRIBUTION,MISC BUSINESS
MONT PELERIN SOCIETY,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
MONTPELIER FOUNDATION,X4100,NON-PROFIT FOUNDATIONS,OTHER
MORGAN STANLEY CHINA A SHARE FUND,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
MORGAN STANLEY EMERGING MARKETS DEBT FUND,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
Muhlenkamp and Co. Inc,F5000,FINANCIAL SERVICES & CONSULTING,"FINANCE, INSURANCE, AND REAL ESTATE"
NATIONAL ASSOCIATION OF SCHOLARS,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
NATIONAL CENTER FOR PUBLIC POLICY RESEARCH,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
NATIONAL CHAMBER FOUNDATION,G1100,CHAMBERS OF COMMERCE,MISC BUSINESS
National Industrial Supply Company,B5300,PLUMBING & PIPE PRODUCTS,CONSTRUCTION
NATIONAL MULTIPLE SCLEROSIS SOCIETY,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
NATIONAL ORGANIZATION FOR THE REFORM OF MARIJUANA LAWS,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
"National Presto Industries, Inc.",G2000,FOOD & BEVERAGE PRODUCTS AND SERVICES,AGRIBUSINESS
NATIONAL REVIEW INSTITUTE,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
NATIONAL RIFLE ASSOCIATION OF AMERICA,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,
NATIONAL SPACE SOCIETY,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
NATIONSTAR MORTGAGE HOLDINGS INC (AKA MR. COOPER),F4700,OTHER REAL ESTATES SERVICES,"FINANCE, INSURANCE, AND REAL ESTATE"
NEW AMERICA FOUNDATION,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
NEW HAMPSHIRE STATE SENATE,J1100,REPUBLICAN/CONSERVATIVE,IDEOLOGICAL/SINGLE-ISSUE
New Order Coffee Roasters,G2000,FOOD & BEVERAGE PRODUCTS AND SERVICES,AGRIBUSINESS
NEW PERSPECTIVE FUND,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
NEW YORK HISTORICAL SOCIETY,X4200,"MUSEUMS, ART GALLERIES, LIBRARIES, ETC. ",OTHER
NOBLE ENERGY (NOW CHEVRON),E1120,INDEPENDENT OIL & GAS PRODUCERS,ENERGY & NATURAL RESOURCES
NORTH CAROLINA HOUSE OF REPRESENTATIVES,J1100,REPUBLICAN/CONSERVATIVE,IDEOLOGICAL/SINGLE-ISSUE
NORTHWESTERN UNIVERSITY,H5100,SCHOOLS & COLLEGES,OTHER
OFFICE OF SENATOR ROBERT HERTZBERG,J1200,DEMOCRAT/LIBERAL,IDEOLOGICAL/SINGLE-ISSUE
ONE CURA WELLNESS,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
OPENTHEBOOKS (AKA AMERICAN TRANSPARENCY),J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
ORANGE CRIMSON FOUNDATION,X4100,NON-PROFIT FOUNDATIONS,OTHER
PACIFIC RESEARCH INSTITUTE FOR PUBLIC POLICY,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
PARENTAL RIGHTS FOUNDATION,X4100,NON-PROFIT FOUNDATIONS,OTHER
PARENTAL RIGHTS ORGANIZATION,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
PAUL E SINGER FOUNDATION,X4100,NON-PROFIT FOUNDATIONS,OTHER
PENN MUTUAL LIFE INSURANCE,F3100,"INSURANCE COMPANIES, BROKERS & AGENTS","FINANCE, INSURANCE, AND REAL ESTATE"
PERFORMANCE VIDEO,C2400,MOTION PICTURE PRODUCTION & DISTRIBUTION,COMMUNICATIONS/ELECTRONICS
PFIZER INC,H4300,PHARMACEUTICAL MANUFACTURING,HEALTH
PICKRELL DRILLING,E1120,INDEPENDENT OIL & GAS PRODUCERS,ENERGY & NATURAL RESOURCES
POLYMER TECHNOLOGIES,M2300,INDUSTRIAL/COMMERCIAL EQUIPMENT & MATERIALS,MISC BUSINESS
POWER SUPPLY COMPANY LLC,E1620,GAS & ELECTRIC UTILITIES,ENERGY & NATURAL RESOURCES
POWERLINE BLOG,C1000,PRINTING AND PUBLISHING (PRINTED & ONLINE),COMMUNICATIONS/ELECTRONICS
PPG INDUSTRIES INC,M1600,"PAINTS, SOLVENTS & COATINGS",MISC BUSINESS
PRAGERU (PRAGER UNIVERSITY),J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
PREMIA CAPITAL MANAGEMENT,F4100,REAL ESTATE DEVELOPERS & SUBDIVIDERS,"FINANCE, INSURANCE, AND REAL ESTATE"
PROJECT ON GOVERNMENT OVERSIGHT,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
PROMETHEUS FOUNDATION,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
PROTEUS ACTION LEAGUE,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
PUBLIC DIPLOMACY COLLABORATIVE AT THE KENNEDY SCHOOL,H5100,SCHOOLS & COLLEGES,OTHER
PUBLIC PREP CHARTER SCHOOL ACADEMIES,H5100,SCHOOLS & COLLEGES,OTHER
R STREET INSTITUTE,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
RABBIT SEMICONDUCTOR COMPANY,C5000,ELECTRONICS MANUFACTURING & SERVICES,COMMUNICATIONS/ELECTRONICS
RADIO FREE ASIA,C1000,PRINTING AND PUBLISHING (PRINTED & ONLINE),COMMUNICATIONS/ELECTRONICS
RATIONAL VACCINES INC,H4500,BIOTECH PRODUCTS & RESEARCH,HEALTH
RAYTHEON TECHNOLOGIES CORPORATION,D0000,DEFENSE  ,DEFENSE
RDV CORPORATION,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
REASON FOUNDATION,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
Rebellion Research Partners,F5000,FINANCIAL SERVICES & CONSULTING,"FINANCE, INSURANCE, AND REAL ESTATE"
Recycled Paper Greetings,C1400,GREETING CARD PUBLISHING,COMMUNICATIONS/ELECTRONICS
REFORMED THEOLOGICAL SEMINARY,X7000,"CHURCHES, CLERGY & RELIGIOUS ORGANIZATIONS",CLERGY & RELIGIOUS ORGANIZATIONS
REGIS UNIVERSITY,H5100,SCHOOLS & COLLEGES,OTHER
REINHOLD FOUNDATION,X4100,NON-PROFIT FOUNDATIONS,OTHER
RESMED INC,H4100,MEDICAL DEVICES & SUPPLIES,HEALTH
RHONE GROUP LLC,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
RICHARD AND BARBARA GABY FOUNDATION,X4100,NON-PROFIT FOUNDATIONS,OTHER
RMB CAPITAL,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
ROE FOUNDATION THE,X4100,NON-PROFIT FOUNDATIONS,OTHER
RSM ENERGY CO.,E1000,ENERGY PRODUCTION & DISTRIBUTION ,ENERGY & NATURAL RESOURCES
RUSK CAPITAL MANAGEMENT LLC,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
RUSK ENERGY CORPORATION,E1000,ENERGY PRODUCTION & DISTRIBUTION ,ENERGY & NATURAL RESOURCES
SANDS CAPITAL MANAGEMENT,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
SARAH SCAIFE FOUNDATION,X4100,NON-PROFIT FOUNDATIONS,OTHER
Savills,F4200,REAL ESTATE AGENTS,"FINANCE, INSURANCE, AND REAL ESTATE"
SCENIC TEXAS,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
SCHAGRINGAS,E1190,LPG/LIQUID PROPANE DEALERS & PRODUCERS,ENERGY & NATURAL RESOURCES
SCIENCE AND ENVIRONMENTAL POLICY PROJECT,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
SEARLE FREEDOM TRUST,X4100,NON-PROFIT FOUNDATIONS,OTHER
SEGS4VETS,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
SHEPHERD CENTER,H2100,HOSPITALS ,HEALTH
SHERIDAN CAPITAL PARTNERS,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
Shirley Ryan Ability Lab,H2100,HOSPITALS ,HEALTH
SIMPLY GOOD FOODS COMPANY,G2000,FOOD & BEVERAGE PRODUCTS AND SERVICES,MISC BUSINESS
SMALL BUSINESS AND ENTREPRENEURSHIP COUNCIL,G1300,PRO-BUSINESS ASSOCIATION,MISC BUSINESS
SOUTH CAROLINA HOUSE OF REPRESENTATIVES,J1100,REPUBLICAN/CONSERVATIVE,IDEOLOGICAL/SINGLE-ISSUE
SOUTHWESTERN MEDICAL FOUNDATION,X4100,NON-PROFIT FOUNDATIONS,OTHER
SPECTRUM HEALTH SYSTEMS INC,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
Spencer Enterprises Inc.,B0000,CONSTRUCTION & PUBLIC WORKS,CONSTRUCTION
SPIRIT OF AMERICA,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
SQUIRE PATTON BOGGS,K1200,CORPORATE LAWYERS & LAW FIRMS,LAWYERS & LOBBYISTS
STAND TOGETHER,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
STARR INSURANCE COMPANIES,F3100,"INSURANCE COMPANIES, BROKERS & AGENTS","FINANCE, INSURANCE, AND REAL ESTATE"
FLORIDA STATE BOARD OF EDUCATION,H5000,EDUCATION,OTHER
FLORIDA DEPARTMENT OF EDUCATION,H5000,EDUCATION,OTHER
STATE FARM,F3100,"INSURANCE COMPANIES, BROKERS & AGENTS","FINANCE, INSURANCE, AND REAL ESTATE"
STATE POLICY NETWORK,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
STATE UNIVERSITY SYSTEM OF FLORIDA,X3000,CIVIL SERVANT/PUBLIC EMPLOYEE,OTHER
STEAMBOAT INSTITUTE,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
STRAKE ENERGY INC,E1000,ENERGY PRODUCTION & DISTRIBUTION ,ENERGY & NATURAL RESOURCES
STRAKE FOUNDATION,X4100,NON-PROFIT FOUNDATIONS,OTHER
Strategic Investment Group,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
STUDENTS FOR LIBERTY,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
SUSAN B ANTHONY LIST,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
SUSQUEHANNA FOUNDATION,X4100,NON-PROFIT FOUNDATIONS,OTHER
SUTTER'S MILL VALUATION SERVICES,F5000,FINANCIAL SERVICES & CONSULTING,"FINANCE, INSURANCE, AND REAL ESTATE"
SYRACUSE UNIVERSITY,H5100,SCHOOLS & COLLEGES,OTHER
TAMKO BUILDING PRODUCTS INC,B5000,BUILDING MATERIALS,CONSTRUCTION
TAXPAYERS FOR COMMON SENSE,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
TELLURIDE FOUNDATION,X4100,NON-PROFIT FOUNDATIONS,OTHER
TENNESSEE STATE SENATE,J1100,REPUBLICAN/CONSERVATIVE,IDEOLOGICAL/SINGLE-ISSUE
TEXANS FOR EDUCATION OPPORTUNITY,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
TEXANS FOR FISCAL RESPONSIBILITY,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
TEXAS CONSERVATIVE COALITION RESEARCH INSTITUTE,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
TEXAS HOUSE OF REPRESENTATIVES,J1100,REPUBLICAN/CONSERVATIVE,IDEOLOGICAL/SINGLE-ISSUE
TEXAS PUBLIC POLICY FOUNDATION,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
THANKSUSA,X4100,NON-PROFIT FOUNDATIONS,OTHER
THE ALEXANDER HAMILTON SOCIETY,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
THE ARIEL FOUNDATION,X4100,NON-PROFIT FOUNDATIONS,OTHER
The Bahnsen Group,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
THE CHICAGO COUNCIL ON GLOBAL AFFAIRS,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
THE DAILY SIGNAL,C1000,PRINTING AND PUBLISHING (PRINTED & ONLINE),COMMUNICATIONS/ELECTRONICS
THE DENNIS PRAGER SHOW,C2100,COMMERCIAL TV & RADIO STATIONS,COMMUNICATIONS/ELECTRONICS
THE GLOBAL LEADERSHIP NETWORK,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
The Morning Star Company,A1000,CROP PRODUCTION & BASIC PROCESSING,AGRIBUSINESS
THE NATIONAL I73/I74/I75 CORRIDOR ASSOCIATION,G1300,PRO-BUSINESS ASSOCIATION,MISC BUSINESS
THE PHILADELPHIA SOCIETY,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
THE ROCKEFELLER UNIVERSITY,H5100,SCHOOLS & COLLEGES,OTHER
THE UNIVERSITY OF TEXAS AT AUSTIN,H5100,SCHOOLS & COLLEGES,OTHER
Thomas Aquinas College,H5100,SCHOOLS & COLLEGES,OTHER
THOMAS PUBLISHING COMPANY,C1520,COMPUTER SOFTWARE,COMMUNICATIONS/ELECTRONICS
TOBACCO COMMUNITY REVITALIZATION COMMISSION,G1300,PRO-BUSINESS ASSOCIATION,MISC BUSINESS
TRINITY COLLEGE,H5100,SCHOOLS & COLLEGES,OTHER
TRUST FOR THE NATIONAL MALL,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
TULLY AND ELISE FRIEDMAN FUND,X4100,NON-PROFIT FOUNDATIONS,OTHER
TURNING POINT USA,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
TWINLOGIC STRATEGIES LLP,K2000,LOBBYISTS & PUBLIC RELATIONS,LAWYERS & LOBBYISTS
U.S.-RUSSIA CHAMBER OF COMMERCE,G1100,CHAMBERS OF COMMERCE,MISC BUSINESS
UM HOLDINGS,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
UNIEURO S.P.A.,G4200,CONSUMER ELECTRONICS & COMPUTER STORES,MISC BUSINESS
UNIFI INC,M8000,TEXTILES & FABRICS,MISC BUSINESS
UNITED STATES AGENCY FOR GLOBAL MEDIA,X3000,CIVIL SERVANT/PUBLIC EMPLOYEE,OTHER
UNITED STATES DEPARTMENT OF STATE,X3000,CIVIL SERVANT/PUBLIC EMPLOYEE,OTHER
UNITED STATES STEEL CORPORATION,M2100,STEEL,MISC BUSINESS
UNITED STATES TELECOMMUNICATION TRAINING INSTITUTE,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
UNITED WAY WORLDWIDE,X4000,NON-PROFITS,OTHER
UNIVERSITY OF CHICAGO,H5100,SCHOOLS & COLLEGES,OTHER
UNIVERSITY OF COLORADO DENVER,H5100,SCHOOLS & COLLEGES,OTHER
UNIVERSITY OF DALLAS,H5100,SCHOOLS & COLLEGES,OTHER
UNIVERSITY OF DELAWARE,H5100,SCHOOLS & COLLEGES,OTHER
UNIVERSITY OF MARYLAND UNIVERSITY COLLEGE,H5100,SCHOOLS & COLLEGES,OTHER
UNIVERSITY OF WASHINGTON LAW SCHOOL,H5100,SCHOOLS & COLLEGES,OTHER
US CHESS CENTER FOUNDATION,X4000,NON-PROFITS,OTHER
US DEPARTMENT OF HOMELAND SECURITY,X3000,CIVIL SERVANT/PUBLIC EMPLOYEE,OTHER
US TERM LIMITS FOUNDATION,J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
VIRGINIA HOUSE OF DELEGATES,J1100,REPUBLICAN/CONSERVATIVE,IDEOLOGICAL/SINGLE-ISSUE
WAKE FOREST UNIVERSITY,H5100,SCHOOLS & COLLEGES,OTHER
"WASHINGTON, JEFFERSON, AND MADISON INSTITUTE",J9000,OTHER SINGLE-ISSUE OR IDEOLOGICAL GROUPS,IDEOLOGICAL/SINGLE-ISSUE
WATCH AND PRAY MINISTRIES,X7000,"CHURCHES, LERGY & RELIGIOUS ORGANIZATIONS",CLERGY & RELIGIOUS ORGANIZATIONS
WELLS MARBLE & HURST PLLC,K0000,LEGAL SERVICES,LAWYERS & LOBBYISTS
WEST MICHIGAN AVIATION ACADEMY,H5100,SCHOOLS & COLLEGES,OTHER
WESTMINSTER CAPITAL LLC,F2600,PRIVATE EQUITY & INVESTMENT FIRMS,"FINANCE, INSURANCE, AND REAL ESTATE"
