ein,name,position,year,org
52-1009116,DUANE PARDE,PRES JAN-AUG 14,2014,NATIONAL TAXPAYERS UNION
52-1009116,PETER J SEPP,PRES SEPT-DEC14,2014,NATIONAL TAXPAYERS UNION
52-1009116,BARBARA ANDERSON,Director,2014,NATIONAL TAXPAYERS UNION
52-1009116,J KENNETH BLACKWELL,Director,2014,NATIONAL TAXPAYERS UNION
52-1009116,STEVE FORBES,Director,2014,NATIONAL TAXPAYERS UNION
52-1009116,DAVID KEATING,Director,2014,NATIONAL TAXPAYERS UNION
52-1009116,DAVID STANLEY,Chairman,2014,NATIONAL TAXPAYERS UNION
52-1009116,RICHARD VEDDER,Director,2014,NATIONAL TAXPAYERS UNION
52-1009116,SHARI WILLIAMS,Director,2014,NATIONAL TAXPAYERS UNION
52-1009116,JOHN TILLMAN,Director,2014,NATIONAL TAXPAYERS UNION
52-1009116,KR KAMON,Director,2014,NATIONAL TAXPAYERS UNION
52-1009116,DR DONALD P RACHETER,Director,2014,NATIONAL TAXPAYERS UNION
52-1009116,JOHN S THOMAS,Director,2014,NATIONAL TAXPAYERS UNION
52-1009116,ROBERT H. SOLT,"V. Chrm, Secr",2013,NATIONAL TAXPAYERS UNION
52-1009116,DUANE A. PARDE,Pres. & Treasurer.,2013,NATIONAL TAXPAYERS UNION
52-1009116,RICHARD R. PHILLIPS,Director,2013,NATIONAL TAXPAYERS UNION
52-1009116,PETER J. SEPP,Director,2013,NATIONAL TAXPAYERS UNION
52-1009116,BARBARA ANDERSON,Director,2013,NATIONAL TAXPAYERS UNION
52-1009116,J KENNETH BLACKWELL,Director,2013,NATIONAL TAXPAYERS UNION
52-1009116,JAMES DALE DAVIDSON,Chairman Emeritus,2013,NATIONAL TAXPAYERS UNION
52-1009116,STEVE FORBES,Director,2013,NATIONAL TAXPAYERS UNION
52-1009116,DAVID KEATING,Director,2013,NATIONAL TAXPAYERS UNION
52-1009116,DAVID M. STANLEY,Chairman,2013,NATIONAL TAXPAYERS UNION
52-1009116,JEAN LEU STANLEY,Director,2013,NATIONAL TAXPAYERS UNION
52-1009116,DR. RICHARD VEDDER,Director,2013,NATIONAL TAXPAYERS UNION
52-1009116,SHARI WILLIAMS,Director,2013,NATIONAL TAXPAYERS UNION
52-1009116,K.R. KAMON,Director,2013,NATIONAL TAXPAYERS UNION
52-1009116,DR. DONALD P. RACHETER,Director,2013,NATIONAL TAXPAYERS UNION
52-1009116,JOHN S. THOMAS,Director,2013,NATIONAL TAXPAYERS UNION
52-1009116,DUANE PARDE,DIRECTOR/PRESIDENT & TREASURER,2012,NATIONAL TAXPAYERS UNION
52-1009116,PETER SEPP,EXECUTIVE VICE PRESIDENT,2012,NATIONAL TAXPAYERS UNION
52-1009116,BARBARA ANDERSON,DIRECTOR,2012,NATIONAL TAXPAYERS UNION
52-1009116,J KENNETH BLACKWELL,DIRECTOR,2012,NATIONAL TAXPAYERS UNION
52-1009116,JAMES DAVIDSON,DIRECTOR/FOUNDER & CHAIRMA,2012,NATIONAL TAXPAYERS UNION
52-1009116,STEVE FORBES,DIRECTOR,2012,NATIONAL TAXPAYERS UNION
52-1009116,DAVID KEATING,DIRECTOR,2012,NATIONAL TAXPAYERS UNION
52-1009116,ROBERT H SOLT,DIRECTOR/SECRETARY & ASSISTANT,2012,NATIONAL TAXPAYERS UNION
52-1009116,DAVID STANLEY,DIRECTOR/CHAIRMAN,2012,NATIONAL TAXPAYERS UNION
52-1009116,JEAN LEU STANLEY,DIRECTOR,2012,NATIONAL TAXPAYERS UNION
52-1009116,RICHARD VEDDER,DIRECTOR,2012,NATIONAL TAXPAYERS UNION
52-1009116,SHARI WILLIAMS,DIRECTOR,2012,NATIONAL TAXPAYERS UNION
52-1009116,JAMES BUCHANAN,DIRECTOR,2012,NATIONAL TAXPAYERS UNION
52-1009116,KR KAMON,DIRECTOR,2012,NATIONAL TAXPAYERS UNION
52-1009116,RICHARD R PHILLIPS,DIRECTOR,2012,NATIONAL TAXPAYERS UNION
52-1009116,DR DONALD P RACHETER,DIRECTOR,2012,NATIONAL TAXPAYERS UNION
52-1009116,JOHN S THOMAS,DIRECTOR,2012,NATIONAL TAXPAYERS UNION
52-1009116,DUANE PARDE,DIRECTOR/PRESIDENT & TREASURER,2011,NATIONAL TAXPAYERS UNION
52-1009116,PETER SEPP,EXECUTIVE VICE PRESIDENT,2011,NATIONAL TAXPAYERS UNION
52-1009116,BARBARA ANDERSON,DIRECTOR,2011,NATIONAL TAXPAYERS UNION
52-1009116,J KENNETH BLACKWELL,DIRECTOR,2011,NATIONAL TAXPAYERS UNION
52-1009116,JAMES DAVIDSON,DIRECTOR/FOUNDER & CHAIRMAN EMERITUS,2011,NATIONAL TAXPAYERS UNION
52-1009116,STEVE FORBES,DIRECTOR,2011,NATIONAL TAXPAYERS UNION
52-1009116,DAVID KEATING,DIRECTOR,2011,NATIONAL TAXPAYERS UNION
52-1009116,ROBERT H SOLT,DIRECTOR/SECRETARY & ASSISTANT TREASURER,2011,NATIONAL TAXPAYERS UNION
52-1009116,DAVID STANLEY,DIRECTOR/CHAIRMAN,2011,NATIONAL TAXPAYERS UNION
52-1009116,JEAN LEU STANLEY,DIRECTOR,2011,NATIONAL TAXPAYERS UNION
52-1009116,RICHARD VEDDER,DIRECTOR,2011,NATIONAL TAXPAYERS UNION
52-1009116,SHARI WILLIAMS,DIRECTOR,2011,NATIONAL TAXPAYERS UNION
52-1009116,JAMES BUCHANAN,DIRECTOR,2011,NATIONAL TAXPAYERS UNION
52-1009116,KR KAMON,DIRECTOR,2011,NATIONAL TAXPAYERS UNION
52-1009116,CURTIN WINSOR III,DIRECTOR,2011,NATIONAL TAXPAYERS UNION
52-1009116,DUANE PARDE,PRESIDENT & TREASURER,2010,NATIONAL TAXPAYERS UNION
52-1009116,BARBARA ANDERSON,DIRECTOR,2010,NATIONAL TAXPAYERS UNION
52-1009116,J KENNETH BLACKWELL,DIRECTOR,2010,NATIONAL TAXPAYERS UNION
52-1009116,JAMES DAVIDSON,DIRECTOR,2010,NATIONAL TAXPAYERS UNION
52-1009116,EDWARD D FAILOR JR,VICE CHAIRMAN,2010,NATIONAL TAXPAYERS UNION
52-1009116,STEVE FORBES,DIRECTOR,2010,NATIONAL TAXPAYERS UNION
52-1009116,DAVID KEATING,DIRECTOR,2010,NATIONAL TAXPAYERS UNION
52-1009116,CLOYD ROBINSON,DIRECTOR,2010,NATIONAL TAXPAYERS UNION
52-1009116,ROBERT H SOLT,DIRECTOR,2010,NATIONAL TAXPAYERS UNION
52-1009116,DAVID STANLEY,CHAIRMAN,2010,NATIONAL TAXPAYERS UNION
52-1009116,JEAN LEU STANLEY,DIRECTOR,2010,NATIONAL TAXPAYERS UNION
52-1009116,RICHARD VEDDER,DIRECTOR,2010,NATIONAL TAXPAYERS UNION
52-1009116,SHARI WILLIAMS,DIRECTOR,2010,NATIONAL TAXPAYERS UNION
52-1009116,JAMES BUCHANAN,DIRECTOR,2010,NATIONAL TAXPAYERS UNION
52-1009116,KR KAMON,DIRECTOR,2010,NATIONAL TAXPAYERS UNION
52-1009116,CURTIN WINSOR III,DIRECTOR,2010,NATIONAL TAXPAYERS UNION
52-1009116,EDWARD D FAILOR SR,DIRECTOR,2010,NATIONAL TAXPAYERS UNION
52-1009116,Duane PARDE,pRESident & treasurer,2009,NATIONAL TAXPAYERS UNION
52-1009116,barbara anderson,director,2009,NATIONAL TAXPAYERS UNION
52-1009116,j kenneth blackwell,director,2009,NATIONAL TAXPAYERS UNION
52-1009116,james davidson,director,2009,NATIONAL TAXPAYERS UNION
52-1009116,edward d failor jr,vice chairman,2009,NATIONAL TAXPAYERS UNION
52-1009116,steve forbes,director,2009,NATIONAL TAXPAYERS UNION
52-1009116,david keating,director,2009,NATIONAL TAXPAYERS UNION
52-1009116,cloyd robinson,director,2009,NATIONAL TAXPAYERS UNION
52-1009116,Robert H Solt,director,2009,NATIONAL TAXPAYERS UNION
52-1009116,david stanley,Chairman,2009,NATIONAL TAXPAYERS UNION
52-1009116,jean leu stanley,director,2009,NATIONAL TAXPAYERS UNION
52-1009116,richard vedder,director,2009,NATIONAL TAXPAYERS UNION
52-1009116,shari williams,director,2009,NATIONAL TAXPAYERS UNION
52-1009116,james buchanan,director,2009,NATIONAL TAXPAYERS UNION
52-1009116,kR Kamon,director,2009,NATIONAL TAXPAYERS UNION
52-1009116,curtin winsor iii,director,2009,NATIONAL TAXPAYERS UNION
52-1009116,EDWARD D FAILOR SR,DIRECTOR,2009,NATIONAL TAXPAYERS UNION
52-1009116,Duane PARDE,,2008,NATIONAL TAXPAYERS UNION
52-1009116,barbara anderson,,2008,NATIONAL TAXPAYERS UNION
52-1009116,kenneth J balckwell,,2008,NATIONAL TAXPAYERS UNION
52-1009116,james davidson,,2008,NATIONAL TAXPAYERS UNION
52-1009116,edward d failorjr,,2008,NATIONAL TAXPAYERS UNION
52-1009116,steve forbes,,2008,NATIONAL TAXPAYERS UNION
52-1009116,david keating,,2008,NATIONAL TAXPAYERS UNION
52-1009116,cloyd robinson,,2008,NATIONAL TAXPAYERS UNION
52-1009116,Robert H Solt,,2008,NATIONAL TAXPAYERS UNION
52-1009116,david stanley,,2008,NATIONAL TAXPAYERS UNION
52-1009116,jean leu stanley,,2008,NATIONAL TAXPAYERS UNION
52-1009116,richard vedder,,2008,NATIONAL TAXPAYERS UNION
52-1009116,shan williams,,2008,NATIONAL TAXPAYERS UNION
52-1009116,james buchanan,,2008,NATIONAL TAXPAYERS UNION
52-1009116,kR Kamon,,2008,NATIONAL TAXPAYERS UNION
52-1009116,curtin winsor III,,2008,NATIONAL TAXPAYERS UNION
52-1009116,John Berthoud,Former President,2007,NATIONAL TAXPAYERS UNION
52-1009116,Duane Parde,President,2007,NATIONAL TAXPAYERS UNION
52-1009116,Jean Leu Stanley,Chairman,2007,NATIONAL TAXPAYERS UNION
52-1009116,David Stanley,Director,2007,NATIONAL TAXPAYERS UNION
52-1009116,Cloyd Robinson,Director,2007,NATIONAL TAXPAYERS UNION
52-1009116,Edward D Failor Jr,Director,2007,NATIONAL TAXPAYERS UNION
52-1009116,Curtin Winsor III,Director,2007,NATIONAL TAXPAYERS UNION
52-1009116,Barbara Anderson,Director,2007,NATIONAL TAXPAYERS UNION
52-1009116,James Buchanan,Director,2007,NATIONAL TAXPAYERS UNION
52-1009116,Edward D Falor Sr,Director,2007,NATIONAL TAXPAYERS UNION
52-1009116,Robert H Solt,Director,2007,NATIONAL TAXPAYERS UNION
52-1009116,Jeff Boeyink,Director,2007,NATIONAL TAXPAYERS UNION
52-1009116,Richard Vedder,Director,2007,NATIONAL TAXPAYERS UNION
52-1009116,Shari Williams,Director,2007,NATIONAL TAXPAYERS UNION
52-1009116,K R Kamon,Vice Chairman,2007,NATIONAL TAXPAYERS UNION
52-1009116,David Keating,Director,2007,NATIONAL TAXPAYERS UNION
52-1009116,J Kenneth Blackwell,Director,2007,NATIONAL TAXPAYERS UNION
52-1009116,John S Thomas,Director,2007,NATIONAL TAXPAYERS UNION
52-1009116,James Davidson,Director,2007,NATIONAL TAXPAYERS UNION
52-1009116,Steve Forbes,Director,2007,NATIONAL TAXPAYERS UNION
52-1009116,JOHN BERTHOUD,PRESIDENT,2006,NATIONAL TAXPAYERS UNION
52-1009116,"CURTIN WINSOR, III",DIRECTOR,2006,NATIONAL TAXPAYERS UNION
52-1009116,JEAN LEU STANLEY,CHAIRMAN,2006,NATIONAL TAXPAYERS UNION
52-1009116,CLOYD ROBINSON,DIRECTOR,2006,NATIONAL TAXPAYERS UNION
52-1009116,DAVID KEATING,DIRECTOR,2006,NATIONAL TAXPAYERS UNION
52-1009116,J. KENNETH BALCKWELL,DIRECTOR,2006,NATIONAL TAXPAYERS UNION
52-1009116,STEVE FORBES,DIRECTOR,2006,NATIONAL TAXPAYERS UNION
52-1009116,"EDWARD D. FAILOR, JR.",DIRECTOR,2006,NATIONAL TAXPAYERS UNION
52-1009116,JOHN S. THOMAS,DIRECTOR,2006,NATIONAL TAXPAYERS UNION
52-1009116,K.R. KAMON,VICE CHAIRMAN,2006,NATIONAL TAXPAYERS UNION
52-1009116,SHARI WILLIAMS,DIRECTOR,2006,NATIONAL TAXPAYERS UNION
52-1009116,JAMES DAVIDSON,DIRECTOR,2006,NATIONAL TAXPAYERS UNION
52-1009116,"EDWARD D. FAILOR, SR.",DIRECTOR,2006,NATIONAL TAXPAYERS UNION
52-1009116,ROBERT H. SOLT,DIRECTOR,2006,NATIONAL TAXPAYERS UNION
52-1009116,JAMES BUCHANAN,DIRECTOR,2006,NATIONAL TAXPAYERS UNION
52-1009116,"EDWARD D. FAILOR, JR.",DIRECTOR,2006,NATIONAL TAXPAYERS UNION
52-1009116,DAVID STANLEY,DIRECTOR,2006,NATIONAL TAXPAYERS UNION
52-1009116,BARBARA ANDERSON,DIRECTOR,2006,NATIONAL TAXPAYERS UNION
52-1009116,RICHARD VEDDER,DIRECTOR,2006,NATIONAL TAXPAYERS UNION
52-1009116,JEFF BOEYINK,DIRECTOR,2006,NATIONAL TAXPAYERS UNION
52-1009116,JOHN BERTHOUD,PRESIDENT,2005,NATIONAL TAXPAYERS UNION
52-1009116,"EDWARD D. FAILOR, SR.",VICE CHAIRMAN,2005,NATIONAL TAXPAYERS UNION
52-1009116,"EDWARD D. FAILOR, JR.",DIRECTOR,2005,NATIONAL TAXPAYERS UNION
52-1009116,STEVE FORBES,DIRECTOR,2005,NATIONAL TAXPAYERS UNION
52-1009116,JOHN S. THOMAS,DIRECTOR,2005,NATIONAL TAXPAYERS UNION
52-1009116,RICHARD VEDDER,DIRECTOR,2005,NATIONAL TAXPAYERS UNION
52-1009116,SOL ERDMAN,DIRECTOR,2005,NATIONAL TAXPAYERS UNION
52-1009116,JEAN LEU STANLEY,DIRECTOR,2005,NATIONAL TAXPAYERS UNION
52-1009116,CLOYD ROBINSON,DIRECTOR,2005,NATIONAL TAXPAYERS UNION
52-1009116,MIKE RILEY,DIRECTOR,2005,NATIONAL TAXPAYERS UNION
52-1009116,JAMES DAVIDSON,DIRECTOR,2005,NATIONAL TAXPAYERS UNION
52-1009116,CURTIN WINSOR,DIRECTOR,2005,NATIONAL TAXPAYERS UNION
52-1009116,JAMES CLARK,DIRECTOR,2005,NATIONAL TAXPAYERS UNION
52-1009116,MICHAEL ARONSTEIN,DIRECTOR,2005,NATIONAL TAXPAYERS UNION
52-1009116,DAVID STANLEY,CHAIRMAN,2005,NATIONAL TAXPAYERS UNION
52-1009116,DAVID KEATING,DIRECTOR,2005,NATIONAL TAXPAYERS UNION
52-1009116,BARBARA ANDERSON,DIRECTOR,2005,NATIONAL TAXPAYERS UNION
52-1009116,JAMES BUCHANAN,DIRECTOR,2005,NATIONAL TAXPAYERS UNION
52-1009116,JEFF BOEYINK,DIRECTOR,2005,NATIONAL TAXPAYERS UNION
52-1009116,ROBERT H. SOLT,DIRECTOR,2005,NATIONAL TAXPAYERS UNION
52-1009116,JOHN BERTHOUD,PRESIDENT,2004,NATIONAL TAXPAYERS UNION
52-1009116,DAVID KEATING,DIRECTOR,2004,NATIONAL TAXPAYERS UNION
52-1009116,J. KENNETH BALCKWELL,DIRECTOR,2004,NATIONAL TAXPAYERS UNION
52-1009116,MIKE RILEY,DIRECTOR,2004,NATIONAL TAXPAYERS UNION
52-1009116,JAMES DAVIDSON,DIRECTOR,2004,NATIONAL TAXPAYERS UNION
52-1009116,SOL ERDMAN,DIRECTOR,2004,NATIONAL TAXPAYERS UNION
52-1009116,BARBARA ANDERSON,DIRECTOR,2004,NATIONAL TAXPAYERS UNION
52-1009116,JAMES BUCHANAN,DIRECTOR,2004,NATIONAL TAXPAYERS UNION
52-1009116,"EDWARD D. FAILOR, SR.",VICE CHAIRMAN,2004,NATIONAL TAXPAYERS UNION
52-1009116,DAVID STANLEY,CHAIRMAN,2004,NATIONAL TAXPAYERS UNION
52-1009116,MICHAEL ARONSTEIN,DIRECTOR,2004,NATIONAL TAXPAYERS UNION
52-1009116,STEVE FORBES,DIRECTOR,2004,NATIONAL TAXPAYERS UNION
52-1009116,ROBERT H. SOLT,DIRECTOR,2004,NATIONAL TAXPAYERS UNION
52-1009116,JEFF BOEYINK,DIRECTOR,2004,NATIONAL TAXPAYERS UNION
52-1009116,CURTIN WINSOR,DIRECTOR,2004,NATIONAL TAXPAYERS UNION
52-1009116,RICHARD VEDDER,DIRECTOR,2004,NATIONAL TAXPAYERS UNION
52-1009116,"EDWARD D. FAILOR, JR.",DIRECTOR,2004,NATIONAL TAXPAYERS UNION
52-1009116,CLOYD ROBINSON,DIRECTOR,2004,NATIONAL TAXPAYERS UNION
52-1009116,JOHN S. THOMAS,DIRECTOR,2004,NATIONAL TAXPAYERS UNION
52-1009116,JEAN LEU STANLEY,DIRECTOR,2004,NATIONAL TAXPAYERS UNION
52-1916480,HAROLD QUINN,PRESIDENT & CEO,2018,NATIONAL MINING ASSOCIATION
52-1916480,MERLYN NOLAN,SVP GOVERNMENT AFFAIRS,2018,NATIONAL MINING ASSOCIATION
52-1916480,ASHLEY BURKE,SVP COMMUNICATIONS,2018,NATIONAL MINING ASSOCIATION
52-1916480,MARY K SWEENEY,SECRETARY (FROM 9/18),2018,NATIONAL MINING ASSOCIATION
52-1916480,BRUCE WATZMAN,SECRETARY (THRU 9/18),2018,NATIONAL MINING ASSOCIATION
52-1916480,ROGER ROBERTS,TREASURER,2018,NATIONAL MINING ASSOCIATION
52-1916480,MOYA PHELLEPS,SVP MEMBERSHIP & MEETINGS,2018,NATIONAL MINING ASSOCIATION
52-1916480,PHILLIPS BAKER,CHAIRMAN,2018,NATIONAL MINING ASSOCIATION
52-1916480,JOHN EAVES,VICE CHAIRMAN,2018,NATIONAL MINING ASSOCIATION
52-1916480,ALAN PROUTY,DIRECTOR,2018,NATIONAL MINING ASSOCIATION
52-1916480,ANDREW LYE,DIRECTOR,2018,NATIONAL MINING ASSOCIATION
52-1916480,BAPPADITYA BANERJEE,DIRECTOR,2018,NATIONAL MINING ASSOCIATION
52-1916480,BRENT BILSLAND,DIRECTOR,2018,NATIONAL MINING ASSOCIATION
52-1916480,BRETT WILSON,DIRECTOR,2018,NATIONAL MINING ASSOCIATION
52-1916480,CATHERINE RAW,DIRECTOR,2018,NATIONAL MINING ASSOCIATION
52-1916480,CHRIS BATEMAN,DIRECTOR,2018,NATIONAL MINING ASSOCIATION
52-1916480,CLARK MOSELEY,DIRECTOR,2018,NATIONAL MINING ASSOCIATION
52-1916480,COLIN MARSHALL,DIRECTOR,2018,NATIONAL MINING ASSOCIATION
52-1916480,CRAIG NUNEZ,DIRECTOR,2018,NATIONAL MINING ASSOCIATION
52-1916480,DENISE JOHNSON,DIRECTOR,2018,NATIONAL MINING ASSOCIATION
52-1916480,HAROLD QUINN,PRESIDENT & CEO,2017,NATIONAL MINING ASSOCIATION
52-1916480,MERLYN NOLAN,SVP GOVERNMENT AFFAIRS,2017,NATIONAL MINING ASSOCIATION
52-1916480,BRUCE WATZMAN,SECRETARY,2017,NATIONAL MINING ASSOCIATION
52-1916480,ASHLEY BURKE,SVP COMMUNICATIONS,2017,NATIONAL MINING ASSOCIATION
52-1916480,KATIE SWEENEY,ASSISTANT SECRETARY,2017,NATIONAL MINING ASSOCIATION
52-1916480,ROGER ROBERTS,TREASURER,2017,NATIONAL MINING ASSOCIATION
52-1916480,MOYA PHELLEPS,SVP MEMBERSHIP & MEETINGS,2017,NATIONAL MINING ASSOCIATION
52-1916480,PHILLIPS S BAKER JR,CHAIRMAN,2017,NATIONAL MINING ASSOCIATION
52-1916480,JOHN EAVES,VICE CHAIRMAN,2017,NATIONAL MINING ASSOCIATION
52-1916480,LUC LEMIRE,DIRECTOR (THRU 2/17),2017,NATIONAL MINING ASSOCIATION
52-1916480,JAMES MATTERN,DIRECTOR (THRU 4/17),2017,NATIONAL MINING ASSOCIATION
52-1916480,WYATT HOGAN,DIRECTOR (THRU 8/17),2017,NATIONAL MINING ASSOCIATION
52-1916480,KEVIN CRAIG,DIRECTOR (THRU 9/17),2017,NATIONAL MINING ASSOCIATION
52-1916480,GARY GOLDBERG,DIRECTOR (THRU 9/17),2017,NATIONAL MINING ASSOCIATION
52-1916480,MICHAEL MCLANAHAN,DIRECTOR (THRU 10/17),2017,NATIONAL MINING ASSOCIATION
52-1916480,RICHARD SMITH,DIRECTOR (THRU 10/17),2017,NATIONAL MINING ASSOCIATION
52-1916480,JENNIFER SCHIPPER,DIRECTOR (THRU 10/17),2017,NATIONAL MINING ASSOCIATION
52-1916480,TOM SYER,DIRECTOR (BEG 11/17),2017,NATIONAL MINING ASSOCIATION
52-1916480,JEAN-BAPTISTE DROMER,DIRECTOR (BEG 10/17),2017,NATIONAL MINING ASSOCIATION
52-1916480,GRANT QUASHA,DIRECTOR (BEG 10/17),2017,NATIONAL MINING ASSOCIATION
52-1916480,QUINN HAROLD,PRESIDENT & CEO,2016,NATIONAL MINING ASSOCIATION
52-1916480,NOLAN MERLYN,"SVP, GOV'T & POLITICAL AFFAIRS",2016,NATIONAL MINING ASSOCIATION
52-1916480,WATZMAN BRUCE,"SECRETARY (SVP, LEGAL & REGULATORY)",2016,NATIONAL MINING ASSOCIATION
52-1916480,SWEENEY MARY,ASS'T SECRETARY (GENERAL COUNSEL),2016,NATIONAL MINING ASSOCIATION
52-1916480,PHELLEPS MOYA,"SVP, MEMBERSHIP & MEETINGS",2016,NATIONAL MINING ASSOCIATION
52-1916480,BURKE ASHLEY,"SVP, COMMUNICATIONS (FORMER)",2016,NATIONAL MINING ASSOCIATION
52-1916480,ROBERTS ROGER,"TREASURER (SVP, FINANCE & ADMIN)",2016,NATIONAL MINING ASSOCIATION
52-1916480,KEVIN CRUTCHFIELD,CHAIRMAN,2016,NATIONAL MINING ASSOCIATION
52-1916480,PHILLIPS S BAKER JR,VICE CHAIRMAN,2016,NATIONAL MINING ASSOCIATION
52-1916480,ALI ALAVI,DIRECTOR,2016,NATIONAL MINING ASSOCIATION
52-1916480,HARRY ANTHONY,DIRECTOR,2016,NATIONAL MINING ASSOCIATION
52-1916480,JACK ATWATER,DIRECTOR,2016,NATIONAL MINING ASSOCIATION
52-1916480,BAPPADITYA BANNERJEE,DIRECTOR (BEG SEPT.),2016,NATIONAL MINING ASSOCIATION
52-1916480,MIKE BERUBE,DIRECTOR (BEG SEPT.),2016,NATIONAL MINING ASSOCIATION
52-1916480,BRENT BILSLAND,DIRECTOR,2016,NATIONAL MINING ASSOCIATION
52-1916480,THOMAS BORER,DIRECTOR,2016,NATIONAL MINING ASSOCIATION
52-1916480,JIMMY BROCK,DIRECTOR (BEG SEPT.),2016,NATIONAL MINING ASSOCIATION
52-1916480,MICHAEL BROWN,DIRECTOR,2016,NATIONAL MINING ASSOCIATION
52-1916480,ROBERT BRUMBAUGH,DIRECTOR (BEG SEPT.),2016,NATIONAL MINING ASSOCIATION
52-1916480,JC BUTLER,DIRECTOR (BEG SEPT.),2016,NATIONAL MINING ASSOCIATION
52-1916480,Quinn Harold,President & CEO,2015,NATIONAL MINING ASSOCIATION
52-1916480,Nolan Merlyn,"SVP, Gov't & Political Affairs",2015,NATIONAL MINING ASSOCIATION
52-1916480,Watzman Bruce,"Secretary (SVP, Legal & Regulatory)",2015,NATIONAL MINING ASSOCIATION
52-1916480,Sweeney Mary,Ass't Secretary (General Counsel),2015,NATIONAL MINING ASSOCIATION
52-1916480,Gravatt Nancy,"SVP, Communications",2015,NATIONAL MINING ASSOCIATION
52-1916480,Roberts Roger,"Treasurer (SVP, Finance & Admin)",2015,NATIONAL MINING ASSOCIATION
52-1916480,Phelleps Moya,"SVP, Membership & Meetings",2015,NATIONAL MINING ASSOCIATION
52-1916480,Kevin Crutchfield,"Vice Chairman (thru October), Chairman (beginning",2015,NATIONAL MINING ASSOCIATION
52-1916480,Red Conger,Chairman (thru October),2015,NATIONAL MINING ASSOCIATION
52-1916480,Phillips S Baker Jr,Vice Chairman (beginning November),2015,NATIONAL MINING ASSOCIATION
52-1916480,Mr Ali Alavi,director,2015,NATIONAL MINING ASSOCIATION
52-1916480,Harry L Anthony,director,2015,NATIONAL MINING ASSOCIATION
52-1916480,Jack Atwater,director,2015,NATIONAL MINING ASSOCIATION
52-1916480,Robert Bennett,Director (beginning April),2015,NATIONAL MINING ASSOCIATION
52-1916480,Robert L Benson,director (thru april),2015,NATIONAL MINING ASSOCIATION
52-1916480,Brent Bilsland,director,2015,NATIONAL MINING ASSOCIATION
52-1916480,John Blaschak,director,2015,NATIONAL MINING ASSOCIATION
52-1916480,Thomas Borer,director,2015,NATIONAL MINING ASSOCIATION
52-1916480,Gregory H Boyce,Director (thru march),2015,NATIONAL MINING ASSOCIATION
52-1916480,Jimmy Brock,director,2015,NATIONAL MINING ASSOCIATION
52-1916480,HAROLD QUINN,PRESIDENT & CEO,2014,NATIONAL MINING ASSOCIATION
52-1916480,MERLYN NOLAN,"SVP, GOVERNMENT AFFAIRS",2014,NATIONAL MINING ASSOCIATION
52-1916480,BRUCE WATZMAN,"SVP, REGULATORY AFFAIRS",2014,NATIONAL MINING ASSOCIATION
52-1916480,MARY SWEENEY,ASSISTANT SECRETARY (GENERAL COUNSEL),2014,NATIONAL MINING ASSOCIATION
52-1916480,NANCY GRAVATT,"SVP, COMMUNICATIONS",2014,NATIONAL MINING ASSOCIATION
52-1916480,ROGER ROBERTS,"TREASURER (SVP, FINANCE)",2014,NATIONAL MINING ASSOCIATION
52-1916480,MOYA PHELLEPS,"SVP, MEMBERSHIP",2014,NATIONAL MINING ASSOCIATION
52-1916480,RED CONGER,CHAIRMAN,2014,NATIONAL MINING ASSOCIATION
52-1916480,KEVIN CRUTCHFIELD,VICE CHAIRMAN,2014,NATIONAL MINING ASSOCIATION
52-1916480,TERRELL ACKERMAN,DIRECTOR (TO JAN '14),2014,NATIONAL MINING ASSOCIATION
52-1916480,ALI ALAVI,DIRECTOR,2014,NATIONAL MINING ASSOCIATION
52-1916480,HARRY L ANTHONY,DIRECTOR,2014,NATIONAL MINING ASSOCIATION
52-1916480,JACK ATWATER,DIRECTOR,2014,NATIONAL MINING ASSOCIATION
52-1916480,PHILLIPS S BAKER JR,DIRECTOR,2014,NATIONAL MINING ASSOCIATION
52-1916480,ROBERT L BENSON,DIRECTOR,2014,NATIONAL MINING ASSOCIATION
52-1916480,BRENT BILSLAND,DIRECTOR (FROM OCT '14),2014,NATIONAL MINING ASSOCIATION
52-1916480,JOHN BLASCHAK,DIRECTOR,2014,NATIONAL MINING ASSOCIATION
52-1916480,THOMAS BORER,DIRECTOR,2014,NATIONAL MINING ASSOCIATION
52-1916480,GREGORY H BOYCE,DIRECTOR,2014,NATIONAL MINING ASSOCIATION
52-1916480,JOHN T BOYD,DIRECTOR (TO SEP '14),2014,NATIONAL MINING ASSOCIATION
52-1916480,HAROLD QUINN JR,PRESIDENT & CEO,2013,NATIONAL MINING ASSOCIATION
52-1916480,MERLYN NOLAN,"SVP, GOVERNMENT AFFAIRS",2013,NATIONAL MINING ASSOCIATION
52-1916480,BRUCE WATZMAN,"SECRETARY (SVP, LEGAL & REGULATORY)",2013,NATIONAL MINING ASSOCIATION
52-1916480,MARY SWEENEY,ASSISTANT SECRETARY (GENERAL COUNSEL),2013,NATIONAL MINING ASSOCIATION
52-1916480,NANCY GRAVATT,"SVP, COMMUNICATIONS",2013,NATIONAL MINING ASSOCIATION
52-1916480,ROGER ROBERTS,"TREASURER (SVP, FINANCE)",2013,NATIONAL MINING ASSOCIATION
52-1916480,DANIEL GERKIN,"SVP, POLITICAL AFFAIRS",2013,NATIONAL MINING ASSOCIATION
52-1916480,MOYA PHELLEPS,"SVP, MEMBERSHIP",2013,NATIONAL MINING ASSOCIATION
