org,nonprofit_type,ein,sole_climate_energy,state,controlling_entity,ruling_year,address,ntee_code,naics_code,sic_code,guidestar_keywords,notes,substantive_focus,peripheral_focus,delay,denial,id,alliance_for_energy_&_economic_growth,alliance_to_save_energy,cooler_heads_coalition,spn
CITIZENS AGAINST GOVERNMENT WASTE,501(c)(3),521363952,False,DC,,1984.0,"1100 Connecticut Ave., NW Suite 650 / Washington, DC 20036 USA/ / WWW.CAGW.ORG/                                 Main Office Phone: (202) 467-5300 Ext 20036                              / 1100 Connecticut Ave., NW Suite 650 / Washington, DC 20036 ",Citizen Participation (W24),813410 Civic and Social Organizations,"8641 Civic and Social Associations/ 8699 Membership Organizations, NEC",,,1,0,1,0,3132,0,0,0,2
CLARE BOOTHE LUCE POLICY INSTITUTE,501(c)(3),541672138,False,VA,,1993.0,"112 Elden Street Suite P / Herndon, VA 20170 USA/                              Camille  Hart                           /                                 Primary Contact Phone: (817) 691- Ext 9672                              / chart@cblpi.org/ Events Director/ www.cblpi.org/                                 Main Office Phone: (703) 318-0730                              / 112 Elden Street Suite P / Herndon, VA 20170 / 112 Elden Street Suite P / Herndon, VA 20170 ",Educational Services and Schools - Other (B90)/ Leadership Development (W70),611710 Educational Support Services,"8299 SCHOOLS AND EDUCATIONAL SERVICES/ 8748 BUSINESS CONSULTING, NEC",conservative women leaders,,1,0,1,1,612,0,0,0,0
CO2 COALITION,501(c)(3),473722575,True,VA,,2015.0,"1621 N Kent St Ste 603  / Arlington, VA 22209 / CO2COALITION.ORG",Environmental Education and Outdoor Survival Programs (C60),712190 Nature Parks and Other Similar Institutions,"7999 Amusement and Recreation, NEC/ 8422 Botanical and Zoological Gardens",,,1,0,1,1,3723,0,0,0,0
COMMITTEE FOR A CONSTRUCTIVE TOMORROW,501(c)(3),521462893,True,DC,,1987.0,"1717 Pennsylvania Ave NW Ste 1025  / Washington, DC 20006 / WWW.CFACT.ORG","Printing, Publishing (A33)",511199 All Other Publishers,2741 MISCELLANEOUS PUBLISHING,,,1,0,1,1,3061,0,0,1,0
COMMONWEALTH FOUNDATION,501(c)(3),746047137,False,PA,,1988.0,"225 STATE ST STE 302  / HARRISBURG, PA 17101 USA/                              Charles  Mitchell                           /                                 Primary Contact Phone: (717) 671-1901                              / info@commonwealthfoundation.org/ President/ www.CommonwealthFoundation.org/                                 Main Office Phone: (717) 671-1901                              / 225 STATE ST STE 302  / HARRISBURG, PA 17101 ",Research Institutes and/or Public Policy Analysis (W05),541720 Research and Development in the Social Sciences and Humanities,8733 Noncommercial Research Organizations/ 8732 Commercial Nonphysical Research,public policy research,,1,0,1,0,3030,0,0,0,1
COMPETITIVE ENTERPRISE INSTITUTE,501(c)(3),521351785,False,DC,,1984.0,"1310 L Street NW 7th Floor / Washington, DC 20005 USA/                             Ms. Annie  Dwyer                           /                                 Primary Contact Phone: (202) 331-1010                              / annie.dwyer@cei.org/ Vice President of Communications/ http://www.cei.org//                                 Main Office Phone: (202) 331-1010                              / 1310 L Street NW 7th Floor / Washington, DC 20005 / 1310 L Street NW 7th Floor / Washington, DC 20005 ",Research Institutes and/or Public Policy Analysis (V05),541720 Research and Development in the Social Sciences and Humanities,8733 Noncommercial Research Organizations/ 8732 Commercial Nonphysical Research,"free markets,  individual freedom,  limited government,  consumer welfare,  liberty,  capitalism,  climate,  regulations,  deregulation,  regulatory reform",,1,0,1,1,1708,0,0,1,2
CONSUMER ACTION FOR A STRONG ECONOMY,501(c)(4),814138103,False,VA,,2017.0,"2221 S Clark St  / Arlington, VA 22202 / CASEFORCONSUMERS.ORG",Community Coalitions (S21),813410 Civic and Social Organizations,"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",,,1,0,1,0,528,0,0,0,0
CONSUMER CHOICE CENTER,501(c)(4),842358602,False,,,,,,,,,,1,0,1,0,1170,0,0,0,0
CONSUMER ENERGY ALLIANCE,501(c)(4),261658339,True,TX,,2008.0,"2211 Norfolk St  / Houston, TX 77098 / www.consumerenergyalliance.org",Public Utilities (W80),221 Utilities,,,,1,0,1,0,3408,0,0,0,0
CORNWALL ALLIANCE FOR THE STEWARDSHIP OF CREATION,501(c)(3),832237067,False,,,,,,,,,,1,0,1,1,413,0,0,0,0
DAILY CALLER NEWS FOUNDATION THE,501(c)(3),452922471,False,DC,,2013.0,"1920 L St NW Ste 205  / Washington, DC 20036 / N/A","Printing, Publishing (A33)",511199 All Other Publishers,2741 MISCELLANEOUS PUBLISHING,,,1,0,1,1,786,0,0,0,0
DISCOVERY INSTITUTE,501(c)(3),911521697,False,WA,,1996.0,"208 Columbia St  / Seattle, WA 98104 / WWW.DISCOVERY.ORG",Unknown (Z99),,,,,0,1,1,1,3354,0,0,0,0
DOCTORS FOR DISASTER PREPAREDNESS,501(c)(3),592414338,True,AZ,,1984.0,"1601 N Tucson Blvd Ste 9  / Tucson, AZ 85716",Health - General and Rehabilitative N.E.C. (E99),621999 All Other Miscellaneous Ambulatory Health Care Services,"8099 HEALTH AND ALLIED SERVICES, NEC",,,1,0,1,1,2455,0,0,0,0
DOMESTIC ENERGY PRODUCERS ALLIANCE,501(c)(6),264396861,True,OK,,2010.0,"PO Box 33190  / Tulsa, OK 74153 / www.depausa.org",Research Institutes and/or Public Policy Analysis (Y05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,,,1,0,1,1,3330,0,0,0,0
E PLURIBUS UNUM FILMS,501(c)(3),912053400,False,WA,,2000.0,"2247 15th Ave W  / Seattle, WA 98119",Television (A32),515120 Television Broadcasting,4833 TELEVISION BROADCASTING STATIONS,,,1,0,1,1,1430,0,0,0,0
EAGLE FORUM,501(c)(4),510189035,False,IL,,1976.0,"200 W 3rd St Ste 502  / Alton, IL 62002 / WWW.EAGLEFORUM.ORG",Right to Life (R62),813311 Human Rights Organizations,"8399 SOCIAL SERVICES, NEC",,,0,1,1,1,3161,0,0,0,0
EDISON ELECTRIC INSTITUTE,501(c)(6),130659550,True,DC,,1942.0,"701 Pennsylvania Ave NW  Washington DC 20004-2608/ Washington, DC 20004 / WWW.EEI.ORG",Promotion of Business (Chambers of Commerce) (S41),813910 Business Associations,"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",,,1,0,1,1,1201,1,0,0,0
EMPOWERMENT ALLIANCE THE,501(c)(4),842875437,True,,,,,,,,,,1,0,1,0,2311,0,0,0,0
ENERGY & ENVIRONMENT LEGAL INSTITUTE,501(c)(3),264239065,True,DC,,2009.0,"722 12th St NW  / Washington, DC 20005 / WWW.EELEGAL.ORG",Research Institutes and/or Public Policy Analysis (C05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,,,1,0,1,1,2283,0,0,0,2
ETHAN ALLEN INSTITUTE,501(c)(3),223092292,False,VT,,1991.0,"4836 Kirby Mountain Rd  Concord VT 05824-9798/ Concord, VT 05824 / www.ethanallen.org",Research Institutes and/or Public Policy Analysis (A05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,,,1,0,1,0,3172,0,0,0,1
FEDERALIST SOCIETY FOR LAW AND PUBLIC POLICY STUDIES,501(c)(3),363235550,False,DC,,1983.0,"1776 I St NW Suite 300 / WASHINGTON, DC 20006 USA/                              Cynthia  Searcy                           /                                 Primary Contact Phone: (202) 822-8138                              / cynthia.searcy@fed-soc.org/ Vice President & Director, Development/ https://fedsoc.org//                                 Main Office Phone: (202) 822-8138                              / 1776 I St NW Suite 300 / WASHINGTON, DC 20006 / 1776 I St NW Suite 300 / WASHINGTON, DC 20006 ","Law, International Law, and Jurisprudence (V26)",541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,,,1,0,1,1,2433,0,0,0,2
FOUNDATION FOR ECONOMIC EDUCATION,501(c)(3),136006960,False,GA,,1947.0,"1819 Peachtree Road NE Suite 300 / Atlanta, GA 30309 USA/                             Mr. Richard N Lorenc                           /                                 Primary Contact Phone: (404) 554-9980                              / rlorenc@fee.org/ Executive Vice President/ FEE.org/                                 Main Office Phone: (404) 554-9980                              / 1819 Peachtree Road NE Suite 300 / Atlanta, GA 30309 ",Research Institutes and/or Public Policy Analysis (B05)/ Economics (as a Social Science) (V22)/ Other Youth Development N.E.C. (O99),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,"Freedom,  Entrepreneurship,  Private Property,  Philosophy,  Education,  Free-Market,  Economics,  Character,  Free-Enterprise,  Civil Society",,1,0,1,1,3290,0,0,0,2
FOUNDATION FOR RESEARCH ON ECONOMICS AND THE ENVIRONMENT,501(c)(3),943170425,False,MT,,1996.0,"PO Box 555  Gallatin Gateway MT 59730-0555/ Gallatin Gateway, MT 59730",Unknown (Z99),,,,,1,0,1,0,3590,0,0,0,0
FREE THE PEOPLE,501(c)(3),475598652,False,DC,,2016.0,"611 Pennsylvania Avenue SE #259  / Washington, DC 20003 USA/                              Terry  Kibbe                           / tkibbe@freethepeople.org/ Chief Executive Officer/ https://freethepeople.org/ 611 Pennsylvania Avenue SE #259  / Washington, DC 20003 ","Civil Rights, Social Action, and Advocacy N.E.C. (R99)",813311 Human Rights Organizations,"8399 SOCIAL SERVICES, NEC","education,  advocacy",,1,0,1,1,856,0,0,0,2
FREE TO CHOOSE NETWORK,501(c)(3),521455677,False,PA,,1986.0,"2002 Filmore Avenue  / Erie, PA 16506 USA/                             Mrs. Cindee  Behrendt                           /                                 Primary Contact Phone: (814) 833-7140 Ext 101                              / clb3@freetochoosenetwork.org/ Director of Corporate Affairs/ http://www.freetochoosenetwork.org/                                 Main Office Phone: (814) 833-7140                              / 2002 Filmore Avenue  / Erie, PA 16506 / 2002 Filmore Avenue  / Erie, PA 16506 ","Film, Video (A31)/ Educational Services and Schools - Other (B90)",512110 Motion Picture and Video Production,7812 MOTION PICTURE AND VIDEO PRODUCTION,"educational, video, economics, Friedman, de Soto, freedom, Stossel, Idea Channel, izzit, izzit.org, free to choose, school choice, students, teachers",,1,0,1,0,178,0,0,0,2
FREEDOMWORKS,501(c)(4),521349353,False,DC,FREEDOMWORKS,1984.0,"111 K St NE Fl 6  / Washington, DC 20002 / https://www.freedomworks.org/","Public Finance, Taxation, Monetary Policy (W22)",813410 Civic and Social Organizations,"8641 Civic and Social Associations/ 8699 Membership Organizations, NEC",,,1,0,1,1,2434,0,0,1,2
FREEDOMWORKS FOUNDATION,501(c)(3),521526916,False,DC,FREEDOMWORKS,1989.0,"111 K St NE Suite 600 / Washington, DC 20002 USA/                             Ms. Parissa  Sedghi                           /                                 Primary Contact Phone: (202) 942-7645                              / psedghi@freedomworks.org/ Vice President of Development/ www.freedomworks.org/foundation/                                 Main Office Phone: (202) 783-3870                              / 111 K St NE Suite 600 / Washington, DC 20002 / 111 K St NE Suite 600 / Washington, DC 20002 ","Research Institutes and/or Public Policy Analysis (B05)/ Public, Society Benefit - Multipurpose and Other N.E.C. (W99)/ Public Finance, Taxation, Monetary Policy (W22)",541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,"Conservative, Free-market, Limited Government, Free Enterprise, Individual Freedom",,1,0,1,1,3468,0,0,0,2
FRONTIERS OF FREEDOM INSTITUTE AND FOUNDATION,501(c)(3),541773197,False,VA,,2014.0,"4094 Majestic Ln Ste 380  / Fairfax, VA 22033 / http://www.ffinst.org","International Affairs, Foreign Policy, & Globalization (Q50)",541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,,,1,0,1,1,166,0,0,0,0
FUTURE OF FREEDOM FOUNDATION,501(c)(3),742543375,False,VA,,1989.0,"11350 Random Hills Rd  Fairfax VA 22030-6044/ Fairfax, VA 22030 / www.fff.org","Professional Societies, Associations (R03)",813920 Professional Organizations,8621 PROFESSIONAL ORGANIZATIONS,,,0,1,1,1,3736,0,0,0,0
GENETIC LITERACY PROJECT,501(c)(3),521844456,False,NY,,1994.0,"155 Water Street Suite 4/12 / Brooklyn, NY 11201 USA/                              Trevor W Butterworth                           /                                 Primary Contact Phone: (202) 8412868                              / trevor@sensci.org/ Director, Sense About Science USA/ www.stats.org",(Government and Public Administration) (W20),813410 Civic and Social Organizations,"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",,,1,0,1,0,2721,0,0,0,0
GEORGIA PUBLIC POLICY FOUNDATION,501(c)(3),581943161,False,GA,,1991.0,"3200 Cobb Galleria Parkway Suite 214 / Atlanta, GA 30339 USA/                             Mr. Kyle  Wingfield                           /                                 Primary Contact Phone: (404) 256-4050                              / kylew@georgiapolicy.org/ President and CEO/ www.georgiapolicy.org/                                 Main Office Phone: (404) 256-4050                              / 3200 Cobb Galleria Parkway Suite 214 / Atlanta, GA 30339 / 3200 Cobb Galleria Parkway Suite 214 / Atlanta, GA 30339 ",Research Institutes and/or Public Policy Analysis (R05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,free market public policy research education taxes health care transporation environment,,1,0,1,1,3483,0,0,0,1
GOVERNMENT ACCOUNTABILITY AND OVERSIGHT,501(c)(3),824033903,False,VA,,2018.0,"324 Logtrac Rd  / Stanardsville, VA 22973 / govoversight.org",Government and Public Administration (W20),813410 Civic and Social Organizations,"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",,,1,0,1,1,125,0,0,0,0
HEARTLAND INSTITUTE,501(c)(3),363309812,False,IL,,1984.0,"3939 N Wilke Rd  / Arlington Heights, IL 60004 USA/                             Mr. David C Hoyt                           /                                 Primary Contact Phone: (312) 377-4000                              / dhoyt@heartland.org/ Executive Director of Development/ www.heartland.org/                                 Main Office Phone: (312) 377-4000                              / 3939 N Wilke Rd  / Arlington Heights, IL 60004 ",Research Institutes and/or Public Policy Analysis (B05)/ Research Institutes and/or Public Policy Analysis (P05)/ Research Institutes and/or Public Policy Analysis (W05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,"budget,  climate change,  digital economy,  education,  environment,  free market,  freedom,  global warming,  government,  health care,  information technology,  junk science,  lawsuit abuse,  libertarian,  multicultural,  private property,  privatization,  public policy,  school reform,  second hand smoke,  smoker,  smoking,  sound science,  taxes,  tax reform,  think tank,  tobacco,  tort reform,  welfare",,1,0,1,1,1290,0,0,1,2
HERITAGE ACTION FOR AMERICA,501(c)(4),272244700,False,DC,HERITAGE FOUNDATION,2010.0,"214 Massachusetts Ave NE Ste 400  / Washington, DC 20002 / WWW.HERITAGEACTION.COM",Alliance/Advocacy Organizations (E01),813319 Other Social Advocacy Organizations,"8399 Social Services, NEC/ 8641 Civic and Social Associations",,,1,0,1,1,2552,0,0,0,2
HERITAGE FOUNDATION,501(c)(3),411275875,False,DC,HERITAGE FOUNDATION,1973.0,"214 Massachusetts Ave NE  / Washington, DC 20002 USA/                             Mr. Carsten  Walter                           /                                 Primary Contact Phone: (202) 608-6034                              / carsten.walter@heritage.org/ Vice President, Development Operations/ http://www.heritage.org","Public Finance, Taxation, Monetary Policy (W22)/ Citizen Participation (W24)/ Public, Society Benefit - Multipurpose and Other N.E.C. (W99)",813410 Civic and Social Organizations,"8641 Civic and Social Associations/ 8699 Membership Organizations, NEC","Conservative,  Free-market,  Think tank,  Limited government,  traditional American values,  strong national defense,  free enterprise,  individual freedom",,1,0,1,1,1955,0,0,0,2
HOOVER INSTITUTION,501(c)(3),0,False,,,,,,,,,Housed within Stanford University,1,0,1,1,345,0,0,0,0
HUDSON INSTITUTE,501(c)(3),131945157,False,DC,,1963.0,"1201 Pennsylvania Avenue N.W. Suite 400 / Washington, DC 20004 USA/                             Dr. Kenneth R.   Weinstein                           /                                 Primary Contact Phone: (202) 974-2400                              / kweinstein@hudson.org/ President and CEO/ http://www.hudson.org/                                 Main Office Phone: (202) 9742400                              / 1201 Pennsylvania Avenue N.W. Suite 400 / Washington, DC 20004 / 1201 Pennsylvania Avenue N.W. Suite 400 / Washington, DC 20004 ","Public, Society Benefit - Multipurpose and Other N.E.C. (W99)/ Public, Society Benefit - Multipurpose and Other N.E.C. (W99)/ Government and Public Administration (W20)",813410 Civic and Social Organizations,"8641 CIVIC AND SOCIAL ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC","Study,  research, debate, ideas, public policy, foreign policy, think tank, war on terror,  democracy,  free markets, analysis, ecurity, defense, Islam, economics, Asia, futurology, human rights, philanthropy, biotechnology, Latin America, employment, housing, civil justice reform, immigration, Middle East, international health, Europe, Russia, agriculture, culture, law, technology,  China,  nonproliferation,  arms control",,1,0,1,0,3317,0,0,0,0
INDEPENDENCE INSTITUTE,501(c)(3),840990300,False,CO,,1985.0,"727 E 16th Ave  / Denver, CO 80203 / N/A",Research Institutes and/or Public Policy Analysis (W05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,,,1,0,1,0,2792,0,0,0,1
INDEPENDENT INSTITUTE,501(c)(3),943008370,False,CA,,1986.0,"100 Swan Way  / Oakland, CA 94621 USA/                             Mr. Martin  Buerger                           /                                 Primary Contact Phone: (510) 632-1366 Ext 110                              / mbuerger@independent.org/ Vice President and Chief Operating Officer/ http://www.independent.org/                                 Main Office Phone: (510) 632-1366                              / 100 Swan Way  / Oakland, CA 94621 / 100 Swan Way  / Oakland, CA 94621 ",Research Institutes and/or Public Policy Analysis (W05)/ Research Institutes and/or Public Policy Analysis (Q05)/ Economics (as a Social Science) (V22),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,"Social Benefit,  Public Policy,  Research,  Publications,  Education",,1,0,1,1,2623,0,0,1,2
INDEPENDENT PETROLEUM ASSOCIATION OF AMERICA,501(c)(6),730296927,True,DC,,1960.0,"1201 15th St NW Ste 300  / Washington, DC 20005 / WWW.IPAA.ORG",Education N.E.C. (B99),611 Educational Services,,,,1,0,1,0,2978,1,0,0,0
INDEPENDENT PETROLEUM ASSOCIATION OF NEW MEXICO,501(c)(6),850267696,True,NM,,1979.0,"PO Box 6101  / Roswell, NM 88202 / WWW.IPANM.ORG",Promotion of Business (Chambers of Commerce) (S41),813910 Business Associations,"8611 Business Associations/ 8699 Membership Organizations, NEC",,,1,0,1,0,3334,0,0,0,0
INDEPENDENT WOMEN'S FORUM,501(c)(3),541670627,False,VA,,1993.0,"4 Weems Lane #312 / Winchester, VA 22601 USA/                             Ms. Carrie  Lukas                           /                                 Primary Contact Phone: (202) 807-9986                              / carrie.lukas@iwf.org/ President/ www.iwf.org/                                 Main Office Phone: (202) 807-9986                              / 4 Weems Lane #312 / Winchester, VA 22601 / 4 Weems Lane #312 / Winchester, VA 22601 ",Research Institutes and/or Public Policy Analysis (W05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,"women,  culture,  public policy",,1,0,1,1,1782,0,0,0,2
INDIANA POLICY REVIEW FOUNDATION,501(c)(3),351758480,False,IN,,1989.0,"PO Box 5166  / Fort Wayne, IN 46895 / WWW.INPOLICY.ORG","Professional Societies, Associations (W03)",813920 Professional Organizations,8621 PROFESSIONAL ORGANIZATIONS,,,0,1,1,1,3322,0,0,0,0
INDUSTRIAL ENERGY CONSUMERS OF AMERICA,501(c)(6),222466569,True,DC,,1984.0,"1776 K St NW Ste 720  / Washington, DC 20006 / N/A",Public Utilities (W80),221 Utilities,,,,1,0,1,0,3903,0,0,0,0
INSTITUTE FOR ENERGY RESEARCH,501(c)(3),760149778,True,DC,,1985.0,"1155 15th St NW Ste 900  / Washington, DC 20005 / WWW.INSTITUTEFORENERGYRESEARCH.ORG",Research Institutes and/or Public Policy Analysis (C05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,,,1,0,1,1,165,0,0,0,0
INSTITUTE FOR POLICY INNOVATION,501(c)(3),752158093,False,TX,,1987.0,"1320 Greenway Drive Ste 820 / Irving, TX 75038 USA/                             Mr. Tom  Giovanetti                           /                                 Primary Contact Phone: (972) 874-5121                              / tomg@ipi.org/ President/ www.ipi.org/                                 Main Office Phone: (972) 874-5139                              ",Research Institutes and/or Public Policy Analysis (B05)/ Research Institutes and/or Public Policy Analysis (R05)/ Research Institutes and/or Public Policy Analysis (W05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,"tax policy,  technology policy,  intellectual property,  Social Security,  conservative,  libertarian,  economic growth,  supply side",,1,0,1,1,3497,0,0,0,0
INTERSTATE NATURAL GAS ASSOCIATION OF AMERICA,501(c)(6),730529079,True,DC,,1946.0,"20 F St NW Ste 450  / Washington, DC 20001 / WWW.INGAA.ORG",Promotion of Business (Chambers of Commerce) (S41),813910 Business Associations,"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",,,1,0,1,0,1747,1,0,0,0
JAMES G. MARTIN CENTER FOR ACADEMIC RENEWAL,501(c)(3),161686283,False,NC,,2004.0,"353 E Six Forks Rd Ste 200 / Raleigh, NC 27609 USA/                             Dr. Jenna A Robinson                           /                                 Primary Contact Phone: (919) 828-1400                              / jarobinson@jamesgmartin.center/ President/ www.jamesgmartin.center/                                 Main Office Phone: (919) 828-1400                              / 353 E Six Forks Rd Ste 200 / Raleigh, NC 27609 / 353 E Six Forks Rd Ste 200 / Raleigh, NC 27609 ",Research Institutes and/or Public Policy Analysis (B05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,"Higher education, policy, University of North Carolina, reform",(fka JOHN W POPE CENTER FOR HIGHER EDUCATION),0,1,1,1,822,0,0,0,2
JAMES MADISON INSTITUTE,501(c)(3),592811908,False,FL,,1987.0,"PO Box 10150  / Tallahassee, FL 32302 / JAMESMADISON.ORG",Research Institutes and/or Public Policy Analysis (W05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,,,1,0,1,1,2778,0,0,0,1
JOHN LOCKE FOUNDATION,501(c)(3),561656943,False,AN,,1990.0,"200 W. MORGAN ST. 200 / RALEIGH, NC 27601 USA/ / WWW.JOHNLOCKE.ORG/                                 Main Office Phone: (919) 828-3876                              / 200 W. MORGAN ST. 200 / RALEIGH,  27601 ",Private Grantmaking Foundations (T20),813211 Grantmaking Foundations,"6732 TRUSTS: EDUCATIONAL, RELIGIOUS, ETC.",,,1,0,1,1,3861,0,0,0,1
JOSIAH BARTLETT CENTER FOR PUBLIC POLICY,501(c)(3),223235650,False,NH,,2018.0,"PO Box 897  / Concord, NH 03302 / www.jbartlett.org",Political Science (V24),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,,,1,0,1,0,2217,0,0,0,1
JUDICIAL WATCH,501(c)(3),521885088,False,DC,,1995.0,"425 Third St, SW Ste 800 / Washington, DC 20024 USA/                              Steve  Andersen                           /                                 Primary Contact Phone: (202) 646-5172                              / info@judicialwatch.org/ Director of Development/ www.judicialwatch.org/                                 Main Office Phone: (202) 646-5172                              ",Nonmonetary Support N.E.C. (W19),813219 Other Grantmaking and Giving Services,"8399 Social Services, NEC","Legal,  Watchdog,  Non-Profit,  Education",,0,1,1,0,3511,0,0,0,0
JUST FACTS FOUNDATION,501(c)(3),208725168,False,NJ,,2007.0,"184 Columbia Tpke Ste 281 / Florham Park, NJ 07932 /                             Mr. Stephen  Cardone                           /                                 Primary Contact Phone: (800) 5267241                              / steve@justfacts.com/ Vice President/ www.justfacts.com","Media, Communications Organizations (A30)",51 Information,,"Research,  education",,1,0,1,1,2788,0,0,0,0
KANSAS OIL AND GAS RESOURCES FUND,501(c)(6),260750621,True,KS,KANSAS INDEPENDENT OIL AND GAS ASSOCIATION,2007.0,"PO Box 757  / Wichita, KS 67201 / WWW.KANSASSTRONG.COM/KOGRF",Promotion of Business (Chambers of Commerce) (S41),813910 Business Associations,"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",,,1,0,1,1,2272,0,0,0,0
KANSAS INDEPENDENT OIL AND GAS ASSOCIATION,501(c)(6),480289485,True,KS,KANSAS INDEPENDENT OIL AND GAS ASSOCIATION,1939.0,"229 E William St Ste 211  / Wichita, KS 67202 / KIOGA.ORG",Alliance/Advocacy Organizations (S01),813319 Other Social Advocacy Organizations,"8399 SOCIAL SERVICES, NEC/ 8641 CIVIC AND SOCIAL ASSOCIATIONS",,,1,0,1,1,2922,1,0,0,0
LEXINGTON INSTITUTE,501(c)(3),541880642,False,VA,,1998.0,"1600 Wilson Blvd Ste 203  / Arlington, VA 22209 / WWW.LEXINGTONINSTITUTE.ORG",Research Institutes and/or Public Policy Analysis (R05),541720 Research and Development in the Social Sciences and Humanities,8733 NONCOMMERCIAL RESEARCH ORGANIZATIONS/ 8732 COMMERCIAL NONPHYSICAL RESEARCH,,,1,0,1,0,3185,0,0,0,0
LIBERTARIAN INSTITUTE THE,501(c)(3),832869616,False,,,,,,,,,,1,0,1,1,487,0,0,0,0
LIBERTY FUND,501(c)(3),351320021,False,IN,,1962.0,"11301 N Meridian  / Carmel, IN 46032 USA/                              Emilio  Pacheco                           /                                 Primary Contact Phone: (317) 8420880                              / epacheco@libertyfund.org/ President & CEO/ www.libertyfund.org/                                 Main Office Phone: (317) 842-0880                              / 11301 N Meridian  / Carmel, IN 46032 / 11301 N Meridian  / Carmel, IN 46032 ",Private Operating Foundations (T23)/ Named Trusts/Foundations N.E.C. (T90)/ Education N.E.C. (B99),813211 Grantmaking Foundations,"6732 TRUSTS: EDUCATIONAL, RELIGIOUS, ETC.","Liberty,  Responsibility,  Limited Government,  Freedom",,0,1,1,1,455,0,0,0,0
LIGNITE ENERGY COUNCIL,501(c)(6),450321174,True,ND,,1974.0,"1016 E Owens Ave  Bismarck ND 58501-1900/ Bismarck, ND 58501 / WWW.LIGNITE.COM",Promotion of Business (Chambers of Commerce) (S41),813910 Business Associations,"8611 BUSINESS ASSOCIATIONS/ 8699 MEMBERSHIP ORGANIZATIONS, NEC",,,1,0,1,0,2326,0,0,0,0
